baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Hurdle Mills	"[u'Lot: 11.01 acres', u'Single Family', u'Built in 2006', u'All time views: 3,987', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Jul 2015 for $229,100', u'Last sale price/sqft: $192', u'Attic', u'Ceiling Fan', u'Deck', u'Flooring: Hardwood', u'Garden', u'Lawn', u'Parking: Garage - Detached, 4 spaces', u'Pool', u'Porch', u'RV Parking', u""In-ground 16X34' swimming pool"", u'fenced horse pastures', u'fruit trees', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Master bath', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Cape cod', u'Floor size: 1,192 sqft', u'Last remodel year: 2013', u'Laundry: In Unit', u'Parcel #: 9878747556', u'Zillow Home ID: 92424715']"	http://photos1.zillowstatic.com/p_e/ISph2ndlnayoem1000000000.jpg	229100.0	[]	1192.0	NC	231815.0	27541	92424715
2.0	3	Hurdle Mills	[u'Lot: 1.17 acres', u'Single Family', u'Built in 2014', u'All time views: 1,886', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $147,000', u'Last sale price/sqft: $122', u'Deck', u'Lawn', u'Parking: Off street', u'Porch', u'Exterior material: Vinyl', u'Foundation type: Concrete Block', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,206 sqft', u'Heating: Electric', u'Parcel #: A42  276', u'Zillow Home ID: 124989963']	http://photos2.zillowstatic.com/p_e/ISp5lx8vfv9l111000000000.jpg	147000.0	[]	1206.0	NC	147405.0	27541	124989963
2.0	3	Hurdle Mills	[u'Lot: 1.46 acres', u'Single Family', u'Built in 2006', u'All time views: 1,043', u'Heating: Heat pump', u'Last sold: Jun 2016 for $165,000', u'Last sale price/sqft: $110', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Design: One Story', u'Fuel Heat: Electric Fuel', u'HO Fees Include: Maint Com. Area', u'Water Heater: Electric WH', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Style: Traditional', u'Restrictive Covenants: Yes', u'Acres: 1-2.9 Acres', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'Subdivision: A Place at Satterfield', u'Exterior material: Cement concrete', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,503 sqft', u'Parcel #: A42  215', u'Zillow Home ID: 111331306']	http://photos1.zillowstatic.com/p_e/ISlaaxrs2ng3yu1000000000.jpg	165000.0	[]	1503.0	NC	171867.0	27541	111331306
2.0	3	Hurdle Mills	[u'Lot: 11.42 acres', u'Single Family', u'Built in 1998', u'All time views: 2,898', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $249,000', u'Last sale price/sqft: $150', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, Garage - Detached, 800 sqft garage', u'A: Central Air', u'Basement Description: No Basement', u'Tub', u'Design: One Story', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Parking: Gravel', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Hardwood Trees', u'Lot Description: Wooded Lot', u'Breakfast Room Floor: Main', u'Dining: Eat-in Kitchen', u'Lvng Area: Main', u'Garage Floor: Main', u'Style: Ranch', u'Garden Tub', u'Horses Allowed', u'Lot Description: Private Rd', u'Other Rooms: Sun Room', u'Lot Description: Private Rd Main. Agree', u'Restrictive Covenants: Yes', u'Country: USA', u'Acres: 11+ Acres', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'LA1Agent Phone1 CountryId: United States (+1)', u'Subdivision: Busby Ridge', u'Dishwasher', u'Dryer', u'Range / Oven', u'Washer', u'Dining room', u'Exterior material: Cement concrete', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,664 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: A9  28', u'Zillow Home ID: 111338323']	http://photos1.zillowstatic.com/p_e/IS1jzuq5uu3ge11000000000.jpg	249000.0	[]	1664.0	NC	193440.0	27541	111338323
2.5	3	Hurdle Mills	[u'Lot: 10.07 acres', u'Single Family', u'Built in 1995', u'All time views: 829', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $373,750', u'Last sale price/sqft: $162', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Garden', u'Lawn', u'Mother-in-Law Apartment', u'Parking: Garage - Detached, 840 sqft garage', u'Patio', u'Porch', u'RV Parking', u'Security System', u'Vaulted Ceiling', u'detached 2 car garage with apartment', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Sun room', u'Exterior material: Stone, Wood', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 2', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 2,300 sqft', u'Heating: Electric, Other', u'Laundry: In Unit', u'Parcel #: 9888145440', u'Zillow Home ID: 50051261']	http://photos2.zillowstatic.com/p_e/IS17qvvm9bsv9q1000000000.jpg	373750.0	[]	2300.0	NC	391594.0	27541	50051261
2.0	3	Hurdle Mills	[u'Lot: 1.37 acres', u'Single Family', u'Built in 2016', u'All time views: 1,146', u'HOA Fee: $200/mo', u'Last sold: Mar 2016 for $144,700', u'Last sale price/sqft: $118', u'Floor size: 1,226 sqft', u'Zillow Home ID: 2099961130']	http://photos2.zillowstatic.com/p_e/IShbgnvbsklo490000000000.jpg	144700.0	[]	1226.0	NC	158639.0	27541	2099961130
3.5	4	Hurdle Mills	[u'Lot: 19.61 acres', u'Single Family', u'Built in 2001', u'All time views: 1,934', u'Last sold: Mar 2016 for $88,000', u'Last sale price/sqft: $43', u'Deck', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 8', u'Stories: 1', u'Floor size: 2,052 sqft', u'Parcel #: 9960955897', u'Zillow Home ID: 50052998']	http://photos3.zillowstatic.com/p_e/ISn2nx89yk9yg3.jpg	88000.0	[]	2052.0	NC	250319.0	27541	50052998
3.0	4	Hurdle Mills	[u'Lot: 26.21 acres', u'Single Family', u'Built in 1986', u'All time views: 1,261', u'Cooling: Other', u'Heating: Other', u'Last sold: Feb 2016 for $90,000', u'Last sale price/sqft: $37', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Detached, 4 spaces, 680 sqft garage', u'Pool', u'Breakfast nook', u'Dining room', u'Exterior material: Wood', u'Roof type: Other', u'Room count: 8', u'Stories: 15', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 2,415 sqft', u'Heating: Other', u'Parcel #: 9887195463', u'Zillow Home ID: 88950899']	http://photos2.zillowstatic.com/p_e/IShzue5dnqi9dy0000000000.jpg	90000.0	[]	2415.0	NC	0.0	27541	88950899
3.0	3	Hurdle Mills	[u'Lot: 19.2 acres', u'Single Family', u'Built in 2007', u'All time views: 4,367', u'Cooling: Other', u'Heating: Other', u'Last sold: Jan 2016 for $345,000', u'Last sale price/sqft: $148', u'Deck', u'Fireplace', u'Flooring: Carpet, Tile', u'Parking: Garage - Attached, 2 spaces, 484 sqft garage', u'Dishwasher', u'Dryer', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 8', u'Stories: 2', u'Structure type: Cape cod', u'Floor size: 2,335 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 9879360784', u'Zillow Home ID: 88951712']	http://photos2.zillowstatic.com/p_e/ISdsi9id9av1b61000000000.jpg	345000.0	[]	2335.0	NC	343598.0	27541	88951712
1.0	3	Hurdle Mills	[u'Lot: 1.01 acres', u'Single Family', u'Built in 1953', u'All time views: 1,189', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jan 2016 for $65,000', u'Last sale price/sqft: $50', u'Flooring: Hardwood', u'A: Central Air', u'Basement Description: No Basement', u'Equipment: Electric Range', u'Tub', u'Design: One Story', u'Flooring: Carpet', u'Exterior Finish: Vinyl Ext', u'Flooring: Hardwood', u'Flooring: Vinyl Floor', u'Fuel Heat: Natural Gas', u'Heating: Forced Air', u'HO Fees Include: None Known', u'Parking: Gravel', u'Washer Dryer Location: 1st Floor', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Dining Room Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: Family Room', u'Dining: Dining Room', u'Style: Ranch', u'Fireplace: 0', u'Subdivision: Not in a Subdivision', u'Country: USA', u'Acres: 1-2.9 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Exterior material: Other', u'Foundation type: Concrete Block', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,300 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: A20  3', u'Zillow Home ID: 111329071']	http://photos2.zillowstatic.com/p_e/ISptj4oagzzf4h1000000000.jpg	65000.0	[]	1300.0	NC	75619.0	27541	111329071
2.5	4	Hurdle Mills	[u'Lot: 13.13 acres', u'Single Family', u'Built in 2001', u'All time views: 1,753', u'Last sold: Dec 2015 for $380,000', u'Last sale price/sqft: $105', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 725 sqft garage', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 11', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,630 sqft', u'Parcel #: 9879380958', u'Zillow Home ID: 60076433']	http://photos1.zillowstatic.com/p_e/IS1b1nb3oh2oo50000000000.jpg	380000.0	[]	3630.0	NC	556035.0	27541	60076433
3.0	3	Hurdle Mills	[u'Lot: 5.04 acres', u'Single Family', u'Built in 2008', u'All time views: 552', u'Last sold: Nov 2015 for $320,000', u'Last sale price/sqft: $119', u'Floor size: 2,681 sqft', u'Zillow Home ID: 2100897501']	http://photos1.zillowstatic.com/p_e/ISxfaa6922gnbg1000000000.jpg	320000.0	[]	2681.0	NC	255894.0	27541	2100897501
2.0	3	Hurdle Mills	"[u'Lot: 11.01 acres', u'Single Family', u'Built in 2006', u'All time views: 3,988', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Jul 2015 for $229,100', u'Last sale price/sqft: $192', u'Attic', u'Ceiling Fan', u'Deck', u'Flooring: Hardwood', u'Garden', u'Lawn', u'Parking: Garage - Detached, 4 spaces', u'Pool', u'Porch', u'RV Parking', u""In-ground 16X34' swimming pool"", u'fenced horse pastures', u'fruit trees', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Master bath', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Cape cod', u'Floor size: 1,192 sqft', u'Last remodel year: 2013', u'Laundry: In Unit', u'Parcel #: 9878747556', u'Zillow Home ID: 92424715']"	http://photos1.zillowstatic.com/p_e/ISph2ndlnayoem1000000000.jpg	229100.0	[]	1192.0	NC	231815.0	27541	92424715
2.0	3	Hurdle Mills	[u'Lot: 1.17 acres', u'Single Family', u'Built in 2014', u'All time views: 1,888', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $147,000', u'Last sale price/sqft: $122', u'Deck', u'Lawn', u'Parking: Off street', u'Porch', u'Exterior material: Vinyl', u'Foundation type: Concrete Block', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,206 sqft', u'Heating: Electric', u'Parcel #: A42  276', u'Zillow Home ID: 124989963']	http://photos2.zillowstatic.com/p_e/ISp5lx8vfv9l111000000000.jpg	147000.0	[]	1206.0	NC	147405.0	27541	124989963
2.0	3	Hurdle Mills	[u'Lot: 1.46 acres', u'Single Family', u'Built in 2006', u'All time views: 1,044', u'Heating: Heat pump', u'Last sold: Jun 2016 for $165,000', u'Last sale price/sqft: $110', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Design: One Story', u'Fuel Heat: Electric Fuel', u'HO Fees Include: Maint Com. Area', u'Water Heater: Electric WH', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Style: Traditional', u'Restrictive Covenants: Yes', u'Acres: 1-2.9 Acres', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'Subdivision: A Place at Satterfield', u'Exterior material: Cement concrete', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,503 sqft', u'Parcel #: A42  215', u'Zillow Home ID: 111331306']	http://photos1.zillowstatic.com/p_e/ISlaaxrs2ng3yu1000000000.jpg	165000.0	[]	1503.0	NC	171867.0	27541	111331306
2.0	3	Hurdle Mills	[u'Lot: 11.42 acres', u'Single Family', u'Built in 1998', u'All time views: 2,900', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $249,000', u'Last sale price/sqft: $150', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, Garage - Detached, 800 sqft garage', u'A: Central Air', u'Basement Description: No Basement', u'Tub', u'Design: One Story', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Parking: Gravel', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Hardwood Trees', u'Lot Description: Wooded Lot', u'Breakfast Room Floor: Main', u'Dining: Eat-in Kitchen', u'Lvng Area: Main', u'Garage Floor: Main', u'Style: Ranch', u'Garden Tub', u'Horses Allowed', u'Lot Description: Private Rd', u'Other Rooms: Sun Room', u'Lot Description: Private Rd Main. Agree', u'Restrictive Covenants: Yes', u'Country: USA', u'Acres: 11+ Acres', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'LA1Agent Phone1 CountryId: United States (+1)', u'Subdivision: Busby Ridge', u'Dishwasher', u'Dryer', u'Range / Oven', u'Washer', u'Dining room', u'Exterior material: Cement concrete', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,664 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: A9  28', u'Zillow Home ID: 111338323']	http://photos1.zillowstatic.com/p_e/IS1jzuq5uu3ge11000000000.jpg	249000.0	[]	1664.0	NC	193440.0	27541	111338323
2.5	3	Hurdle Mills	[u'Lot: 10.07 acres', u'Single Family', u'Built in 1995', u'All time views: 830', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $373,750', u'Last sale price/sqft: $162', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Garden', u'Lawn', u'Mother-in-Law Apartment', u'Parking: Garage - Detached, 840 sqft garage', u'Patio', u'Porch', u'RV Parking', u'Security System', u'Vaulted Ceiling', u'detached 2 car garage with apartment', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Sun room', u'Exterior material: Stone, Wood', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 2', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 2,300 sqft', u'Heating: Electric, Other', u'Laundry: In Unit', u'Parcel #: 9888145440', u'Zillow Home ID: 50051261']	http://photos2.zillowstatic.com/p_e/IS17qvvm9bsv9q1000000000.jpg	373750.0	[]	2300.0	NC	391594.0	27541	50051261
2.0	3	Hurdle Mills	[u'Lot: 1.37 acres', u'Single Family', u'Built in 2016', u'All time views: 1,147', u'HOA Fee: $200/mo', u'Last sold: Mar 2016 for $144,700', u'Last sale price/sqft: $118', u'Floor size: 1,226 sqft', u'Zillow Home ID: 2099961130']	http://photos2.zillowstatic.com/p_e/IShbgnvbsklo490000000000.jpg	144700.0	[]	1226.0	NC	158639.0	27541	2099961130
3.5	4	Hurdle Mills	[u'Lot: 19.61 acres', u'Single Family', u'Built in 2001', u'All time views: 1,935', u'Last sold: Mar 2016 for $88,000', u'Last sale price/sqft: $43', u'Deck', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 8', u'Stories: 1', u'Floor size: 2,052 sqft', u'Parcel #: 9960955897', u'Zillow Home ID: 50052998']	http://photos3.zillowstatic.com/p_e/ISn2nx89yk9yg3.jpg	88000.0	[]	2052.0	NC	250319.0	27541	50052998
3.0	4	Hurdle Mills	[u'Lot: 26.21 acres', u'Single Family', u'Built in 1986', u'All time views: 1,262', u'Cooling: Other', u'Heating: Other', u'Last sold: Feb 2016 for $90,000', u'Last sale price/sqft: $37', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Detached, 4 spaces, 680 sqft garage', u'Pool', u'Breakfast nook', u'Dining room', u'Exterior material: Wood', u'Roof type: Other', u'Room count: 8', u'Stories: 15', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 2,415 sqft', u'Heating: Other', u'Parcel #: 9887195463', u'Zillow Home ID: 88950899']	http://photos2.zillowstatic.com/p_e/IShzue5dnqi9dy0000000000.jpg	90000.0	[]	2415.0	NC	0.0	27541	88950899
3.0	3	Hurdle Mills	[u'Lot: 19.2 acres', u'Single Family', u'Built in 2007', u'All time views: 4,368', u'Cooling: Other', u'Heating: Other', u'Last sold: Jan 2016 for $345,000', u'Last sale price/sqft: $148', u'Deck', u'Fireplace', u'Flooring: Carpet, Tile', u'Parking: Garage - Attached, 2 spaces, 484 sqft garage', u'Dishwasher', u'Dryer', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 8', u'Stories: 2', u'Structure type: Cape cod', u'Floor size: 2,335 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 9879360784', u'Zillow Home ID: 88951712']	http://photos2.zillowstatic.com/p_e/ISdsi9id9av1b61000000000.jpg	345000.0	[]	2335.0	NC	343598.0	27541	88951712
1.0	3	Hurdle Mills	[u'Lot: 1.01 acres', u'Single Family', u'Built in 1953', u'All time views: 1,190', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jan 2016 for $65,000', u'Last sale price/sqft: $50', u'Flooring: Hardwood', u'A: Central Air', u'Basement Description: No Basement', u'Equipment: Electric Range', u'Tub', u'Design: One Story', u'Flooring: Carpet', u'Exterior Finish: Vinyl Ext', u'Flooring: Hardwood', u'Flooring: Vinyl Floor', u'Fuel Heat: Natural Gas', u'Heating: Forced Air', u'HO Fees Include: None Known', u'Parking: Gravel', u'Washer Dryer Location: 1st Floor', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Dining Room Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: Family Room', u'Dining: Dining Room', u'Style: Ranch', u'Fireplace: 0', u'Subdivision: Not in a Subdivision', u'Country: USA', u'Acres: 1-2.9 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Exterior material: Other', u'Foundation type: Concrete Block', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,300 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: A20  3', u'Zillow Home ID: 111329071']	http://photos2.zillowstatic.com/p_e/ISptj4oagzzf4h1000000000.jpg	65000.0	[]	1300.0	NC	75619.0	27541	111329071
2.5	4	Hurdle Mills	[u'Lot: 13.13 acres', u'Single Family', u'Built in 2001', u'All time views: 1,754', u'Last sold: Dec 2015 for $380,000', u'Last sale price/sqft: $105', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 725 sqft garage', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 11', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,630 sqft', u'Parcel #: 9879380958', u'Zillow Home ID: 60076433']	http://photos1.zillowstatic.com/p_e/IS1b1nb3oh2oo50000000000.jpg	380000.0	[]	3630.0	NC	556035.0	27541	60076433
3.0	3	Hurdle Mills	[u'Lot: 5.04 acres', u'Single Family', u'Built in 2008', u'All time views: 553', u'Last sold: Nov 2015 for $320,000', u'Last sale price/sqft: $119', u'Floor size: 2,681 sqft', u'Zillow Home ID: 2100897501']	http://photos1.zillowstatic.com/p_e/ISxfaa6922gnbg1000000000.jpg	320000.0	[]	2681.0	NC	255894.0	27541	2100897501
2.0	3	Hurdle Mills	"[u'Lot: 11.01 acres', u'Single Family', u'Built in 2006', u'All time views: 3,989', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Jul 2015 for $229,100', u'Last sale price/sqft: $192', u'Attic', u'Ceiling Fan', u'Deck', u'Flooring: Hardwood', u'Garden', u'Lawn', u'Parking: Garage - Detached, 4 spaces', u'Pool', u'Porch', u'RV Parking', u""In-ground 16X34' swimming pool"", u'fenced horse pastures', u'fruit trees', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Master bath', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Cape cod', u'Floor size: 1,192 sqft', u'Last remodel year: 2013', u'Laundry: In Unit', u'Parcel #: 9878747556', u'Zillow Home ID: 92424715']"	http://photos1.zillowstatic.com/p_e/ISph2ndlnayoem1000000000.jpg	229100.0	[]	1192.0	NC	231815.0	27541	92424715
