baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Fremont	[u'Lot: 1 acre', u'Single Family', u'Built in 1975', u'All time views: 1,033', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2015 for $107,000', u'Last sale price/sqft: $69', u'Fireplace', u'Parking: Garage - Attached, 1 space, 800 sqft garage', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Brick', u'Foundation type: Footing', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,549 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 113635257494', u'Zillow Home ID: 78364891']	http://photos2.zillowstatic.com/p_e/IStgkf8sjjtj9x0000000000.jpg	107000.0	[]	1549.0	NC	129000.0	27830	78364891
1.0	2	Fremont	[u'Lot: 2.41 acres', u'Single Family', u'Built in 2010', u'All time views: 494', u'Heating: Heat pump', u'Last sold: Dec 2014 for $150,000', u'Last sale price/sqft: $125', u'Parking: Garage - Attached', u'Stories: 2', u'Floor size: 1,200 sqft', u'Parcel #: 3617-52-4524.000', u'Zillow Home ID: 113745954']	http://photos2.zillowstatic.com/p_e/IStcltco0om52p1000000000.jpg	150000.0	[]	1200.0	NC	77154.0	27830	113745954
2.0	3	Fremont	[u'Single Family', u'Built in 1976', u'All time views: 439', u'Last sold: Nov 2014 for $119,000', u'Last sale price/sqft: $49', u'Floor size: 2,445 sqft', u'Zillow Home ID: 2104902439']	http://photos3.zillowstatic.com/p_e/IS5mg5e71prlyd0000000000.jpg	119000.0	[]	2445.0	NC	166246.0	27830	2104902439
2.0	3	Eureka	[u'Lot: 1.39 acres', u'Single Family', u'Built in 1900', u'All time views: 287', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2014 for $135,000', u'Last sale price/sqft: $82', u'Fireplace', u'Parking: Off street, 600 sqft garage', u'Unfinished basement', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,643 sqft', u'Parcel #: 113635541805', u'Zillow Home ID: 113762530']	http://photos1.zillowstatic.com/p_e/IS17ixjwnd92v80000000000.jpg	135000.0	[]	1643.0	NC	112024.0	27830	113762530
2.0	3	Fremont	[u'Single Family', u'Built in 1972', u'All time views: 360', u'Last sold: Jul 2014 for $96,000', u'Last sale price/sqft: $74', u'Floor size: 1,300 sqft', u'Zillow Home ID: 2107159017']	http://photos2.zillowstatic.com/p_e/IS5m8vcxpm1vvz0000000000.jpg	96000.0	[]	1300.0	NC	80651.0	27830	2107159017
3.0	4	Eureka	[u'Lot: 2.16 acres', u'Single Family', u'Built in 1954', u'All time views: 151', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $80,000', u'Last sale price/sqft: $37', u'Fireplace', u'Parking: Carport, 200 sqft garage', u'Unfinished basement', u'Type: Ranch', u'Apx Age: Over 40', u'Construction: Brick Veneer', u'Foundation: Crawl Space', u'Roof: Shingle Composition', u'Heating System: Electric Heat Pump', u'Water Heater: Electric', u'Water: Public Water', u'Sewer: Sewer Connection', u'Basement: None', u'Appliances: Dishwasher', u'Ceiling Fan', u'Fireplace', u'Fenced Yard', u'Property Status: Active', u'Property Type: Residential', u'Air Conditioning: Central Electric', u'Sewer: Septic Tank', u'Driveway Type: Concrete Drive', u'Dining Room', u'Location Description: 1-5 acres', u'Outbuildings: Metal', u'Exterior material: Brick', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 2,136 sqft', u'Parcel #: 113635349660', u'Zillow Home ID: 78364921']	http://photos3.zillowstatic.com/p_e/IS5ee2c3tqj2vo1000000000.jpg	80000.0	[]	2136.0	NC	137693.0	27830	78364921
2.0	3	Fremont	[u'Lot: 7,866 sqft', u'Single Family', u'Built in 1973', u'All time views: 901', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $92,000', u'Last sale price/sqft: $68', u'Fireplace', u'Flooring: Hardwood', u'Parking: Carport, 200 sqft garage', u'Unfinished basement', u'Type: Ranch', u'Apx Age: Over 40', u'Construction: Brick Veneer', u'Foundation: Crawl Space', u'Roof: Shingle Composition', u'Heating System: Electric Heat Pump', u'Air Conditioning: Central Electric Heat Pump', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Pull Down Stairs', u'Basement: None', u'Location Description: Private Yard', u'Appliances: Dishwasher', u'Appliances: Range', u'Appliances: Refrigerator', u'Ceiling Fan', u'Miscellaneous: Other-See Remarks', u'Property Status: Active', u'Property Type: Residential', u'Driveway Type: Concrete Drive', u'Location Description: Level Lot', u'Appliances: Microwave', u'Gas Logs', u'Outbuildings: Frame', u'Other-See Remarks', u'Sewer: Community Sewer', u'Attic: Other-See Remarks', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Master bath', u'Exterior material: Brick', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,344 sqft', u'Laundry: In Unit', u'Parcel #: 113605556213', u'Zillow Home ID: 78365492']	http://photos3.zillowstatic.com/p_e/IShzmo7vbcgmcp1000000000.jpg	92000.0	[]	1344.0	NC	94623.0	27830	78365492
3.0	4	Fremont	[u'Lot: 4.75 acres', u'Single Family', u'Built in 2006', u'All time views: 5,341', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2016 for $325,000', u'Last sale price/sqft: $117', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, Off street, 2 spaces', u'Porch', u'Security System', u'Storage', u'View: Territorial', u'Wired', u'Custom one of a kind home ! Solid and very quiet home with all walls insulated', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick, Shingle', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,770 sqft', u'Heating: Propane butane', u'Zillow Home ID: 2139769176']	http://photos1.zillowstatic.com/p_e/ISp16zcer3xxcs1000000000.jpg	325000.0	[]	2770.0	NC	247502.0	27830	2139769176
2.5	3	Fremont	[u'Baths: 2 full, 1 half', u'Single Family', u'Built in 1976', u'All time views: 727', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2015 for $215,000', u'Last sale price/sqft: $77', u'Ceiling Fan', u'Deck', u'Pool', u'Dishwasher', u'Workshop', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 0', u'Floor size: 2,792 sqft', u'Zillow Home ID: 2102338562']	http://photos2.zillowstatic.com/p_e/IS1bx3e9qur0ys1000000000.jpg	215000.0	[]	2792.0	NC	216574.0	27830	2102338562
2.0	4	Fremont	[u'Single Family', u'Built in 1925', u'All time views: 693', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $83,000', u'Last sale price/sqft: $49', u'Fireplace', u'Parking: Off street, 600 sqft garage', u'Exterior material: Wood', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,700 sqft', u'Parcel #: 113605347385', u'Zillow Home ID: 78365195']	http://photos1.zillowstatic.com/p_e/ISp555013ykhvi1000000000.jpg	83000.0	[]	1700.0	NC	89801.0	27830	78365195
2.0	3	Fremont	[u'Single Family', u'Built in 1949', u'All time views: 539', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Sep 2015 for $41,500', u'Last sale price/sqft: $23', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 2', u'Floor size: 1,768 sqft', u'Parcel #: 113605536408', u'Zillow Home ID: 78365435']	http://photos1.zillowstatic.com/p_e/ISphmy7otrvmf00000000000.jpg	41500.0	[]	1768.0	NC	93995.0	27830	78365435
2.0	3	Fremont	[u'Lot: 3.55 acres', u'Single Family', u'Built in 1990', u'All time views: 927', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Sep 2015 for $62,000', u'Last sale price/sqft: $40', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate', u'Porch', u'Unfinished basement', u'Dishwasher', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 1', u'Floor size: 1,568 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 092686350643', u'Zillow Home ID: 78381089']	http://photos3.zillowstatic.com/p_e/IS56sv1jlfb0y40000000000.jpg	62000.0	[]	1568.0	NC	69550.0	27830	78381089
1.5	3	Fremont	[u'Single Family', u'Built in 1965', u'All time views: 907', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2015 for $82,000', u'Last sale price/sqft: $69', u'Attic', u'Cable Ready', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Lawn', u'Parking: Carport, 1 space, 200 sqft garage', u'Porch', u'Screen Back Porch', u'Storage Room', u'Private Lot', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Family room', u'Master bath', u'Exterior material: Brick, Vinyl', u'Foundation type: Footing', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,193 sqft', u'Heating: None', u'Parcel #: 113605369096', u'Zillow Home ID: 78365237']	http://photos2.zillowstatic.com/p_e/IS13btw4bt5z040000000000.jpg	82000.0	[]	1193.0	NC	81332.0	27830	78365237
2.0	4	Fremont	[u'Lot: 2.5 acres', u'Single Family', u'Built in 1979', u'All time views: 2,619', u'Last sold: May 2015 for $135,000', u'Last sale price/sqft: $64', u'Floor size: 2,100 sqft', u'Zillow Home ID: 2111074873']	http://photos3.zillowstatic.com/p_e/ISxfaq2tzho9480000000000.jpg	135000.0	[]	2100.0	NC	145891.0	27830	2111074873
2.0	3	Fremont	[u'Lot: 0.27 acres', u'Single Family', u'Built in 2005', u'All time views: 1,565', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2015 for $118,450', u'Last sale price/sqft: $97', u'Ceiling Fan', u'Fenced Yard', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Detached, 2 spaces', u'Porch', u'Dishwasher', u'Microwave', u'Range / Oven', u'Family room', u'Master bath', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,218 sqft', u'Heating: Electric', u'Zillow Home ID: 2140687349']	http://photos1.zillowstatic.com/p_e/ISleta6p0g0ia60000000000.jpg	118450.0	[]	1218.0	NC	85314.0	27830	2140687349
2.0	3	Fremont	[u'Single Family', u'Built in 1955', u'All time views: 827', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2015 for $68,000', u'Last sale price/sqft: $57', u'Fireplace', u'Flooring: Linoleum / Vinyl', u'Parking: Carport', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Brick', u'Foundation type: Footing', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,201 sqft', u'Heating: Electric', u'Parcel #: 113605569080', u'Zillow Home ID: 93096616']	http://photos1.zillowstatic.com/p_e/IS-ix38an5dynod.jpg	68000.0	[]	1201.0	NC	71754.0	27830	93096616
2.0	4	Fremont	[u'Lot: 0.55 acres', u'Single Family', u'Built in 2006', u'All time views: 1,144', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2015 for $40,000', u'Last sale price/sqft: $22', u'Parking: Carport, Garage - Attached', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Structure type: Other', u'Floor size: 1,782 sqft', u'Heating: Electric', u'Zillow Home ID: 2105331953']	http://photos2.zillowstatic.com/p_e/IS1fkooyu13ggc1000000000.jpg	40000.0	[]	1782.0	NC	104492.0	27830	2105331953
2.0	3	Fremont	[u'Lot: 1 acre', u'Single Family', u'Built in 1975', u'All time views: 1,034', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2015 for $107,000', u'Last sale price/sqft: $69', u'Fireplace', u'Parking: Garage - Attached, 1 space, 800 sqft garage', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Brick', u'Foundation type: Footing', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,549 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 113635257494', u'Zillow Home ID: 78364891']	http://photos2.zillowstatic.com/p_e/IStgkf8sjjtj9x0000000000.jpg	107000.0	[]	1549.0	NC	129000.0	27830	78364891
1.0	2	Fremont	[u'Lot: 2.41 acres', u'Single Family', u'Built in 2010', u'All time views: 495', u'Heating: Heat pump', u'Last sold: Dec 2014 for $150,000', u'Last sale price/sqft: $125', u'Parking: Garage - Attached', u'Stories: 2', u'Floor size: 1,200 sqft', u'Parcel #: 3617-52-4524.000', u'Zillow Home ID: 113745954']	http://photos2.zillowstatic.com/p_e/IStcltco0om52p1000000000.jpg	150000.0	[]	1200.0	NC	77154.0	27830	113745954
2.0	3	Fremont	[u'Single Family', u'Built in 1976', u'All time views: 440', u'Last sold: Nov 2014 for $119,000', u'Last sale price/sqft: $49', u'Floor size: 2,445 sqft', u'Zillow Home ID: 2104902439']	http://photos3.zillowstatic.com/p_e/IS5mg5e71prlyd0000000000.jpg	119000.0	[]	2445.0	NC	166246.0	27830	2104902439
2.0	3	Eureka	[u'Lot: 1.39 acres', u'Single Family', u'Built in 1900', u'All time views: 288', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2014 for $135,000', u'Last sale price/sqft: $82', u'Fireplace', u'Parking: Off street, 600 sqft garage', u'Unfinished basement', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,643 sqft', u'Parcel #: 113635541805', u'Zillow Home ID: 113762530']	http://photos1.zillowstatic.com/p_e/IS17ixjwnd92v80000000000.jpg	135000.0	[]	1643.0	NC	112024.0	27830	113762530
2.0	3	Fremont	[u'Single Family', u'Built in 1972', u'All time views: 361', u'Last sold: Jul 2014 for $96,000', u'Last sale price/sqft: $74', u'Floor size: 1,300 sqft', u'Zillow Home ID: 2107159017']	http://photos2.zillowstatic.com/p_e/IS5m8vcxpm1vvz0000000000.jpg	96000.0	[]	1300.0	NC	80651.0	27830	2107159017
3.0	4	Eureka	[u'Lot: 2.16 acres', u'Single Family', u'Built in 1954', u'All time views: 152', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $80,000', u'Last sale price/sqft: $37', u'Fireplace', u'Parking: Carport, 200 sqft garage', u'Unfinished basement', u'Type: Ranch', u'Apx Age: Over 40', u'Construction: Brick Veneer', u'Foundation: Crawl Space', u'Roof: Shingle Composition', u'Heating System: Electric Heat Pump', u'Water Heater: Electric', u'Water: Public Water', u'Sewer: Sewer Connection', u'Basement: None', u'Appliances: Dishwasher', u'Ceiling Fan', u'Fireplace', u'Fenced Yard', u'Property Status: Active', u'Property Type: Residential', u'Air Conditioning: Central Electric', u'Sewer: Septic Tank', u'Driveway Type: Concrete Drive', u'Dining Room', u'Location Description: 1-5 acres', u'Outbuildings: Metal', u'Exterior material: Brick', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 2,136 sqft', u'Parcel #: 113635349660', u'Zillow Home ID: 78364921']	http://photos3.zillowstatic.com/p_e/IS5ee2c3tqj2vo1000000000.jpg	80000.0	[]	2136.0	NC	137693.0	27830	78364921
2.0	3	Fremont	[u'Lot: 7,866 sqft', u'Single Family', u'Built in 1973', u'All time views: 902', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $92,000', u'Last sale price/sqft: $68', u'Fireplace', u'Flooring: Hardwood', u'Parking: Carport, 200 sqft garage', u'Unfinished basement', u'Type: Ranch', u'Apx Age: Over 40', u'Construction: Brick Veneer', u'Foundation: Crawl Space', u'Roof: Shingle Composition', u'Heating System: Electric Heat Pump', u'Air Conditioning: Central Electric Heat Pump', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Pull Down Stairs', u'Basement: None', u'Location Description: Private Yard', u'Appliances: Dishwasher', u'Appliances: Range', u'Appliances: Refrigerator', u'Ceiling Fan', u'Miscellaneous: Other-See Remarks', u'Property Status: Active', u'Property Type: Residential', u'Driveway Type: Concrete Drive', u'Location Description: Level Lot', u'Appliances: Microwave', u'Gas Logs', u'Outbuildings: Frame', u'Other-See Remarks', u'Sewer: Community Sewer', u'Attic: Other-See Remarks', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Master bath', u'Exterior material: Brick', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,344 sqft', u'Laundry: In Unit', u'Parcel #: 113605556213', u'Zillow Home ID: 78365492']	http://photos3.zillowstatic.com/p_e/IShzmo7vbcgmcp1000000000.jpg	92000.0	[]	1344.0	NC	94623.0	27830	78365492
3.0	4	Fremont	[u'Lot: 4.75 acres', u'Single Family', u'Built in 2006', u'All time views: 5,342', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2016 for $325,000', u'Last sale price/sqft: $117', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, Off street, 2 spaces', u'Porch', u'Security System', u'Storage', u'View: Territorial', u'Wired', u'Custom one of a kind home ! Solid and very quiet home with all walls insulated', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick, Shingle', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,770 sqft', u'Heating: Propane butane', u'Zillow Home ID: 2139769176']	http://photos1.zillowstatic.com/p_e/ISp16zcer3xxcs1000000000.jpg	325000.0	[]	2770.0	NC	247502.0	27830	2139769176
2.5	3	Fremont	[u'Baths: 2 full, 1 half', u'Single Family', u'Built in 1976', u'All time views: 728', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2015 for $215,000', u'Last sale price/sqft: $77', u'Ceiling Fan', u'Deck', u'Pool', u'Dishwasher', u'Workshop', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 0', u'Floor size: 2,792 sqft', u'Zillow Home ID: 2102338562']	http://photos2.zillowstatic.com/p_e/IS1bx3e9qur0ys1000000000.jpg	215000.0	[]	2792.0	NC	216574.0	27830	2102338562
2.0	4	Fremont	[u'Single Family', u'Built in 1925', u'All time views: 694', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $83,000', u'Last sale price/sqft: $49', u'Fireplace', u'Parking: Off street, 600 sqft garage', u'Exterior material: Wood', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,700 sqft', u'Parcel #: 113605347385', u'Zillow Home ID: 78365195']	http://photos1.zillowstatic.com/p_e/ISp555013ykhvi1000000000.jpg	83000.0	[]	1700.0	NC	89801.0	27830	78365195
2.0	3	Fremont	[u'Single Family', u'Built in 1949', u'All time views: 540', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Sep 2015 for $41,500', u'Last sale price/sqft: $23', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 2', u'Floor size: 1,768 sqft', u'Parcel #: 113605536408', u'Zillow Home ID: 78365435']	http://photos1.zillowstatic.com/p_e/ISphmy7otrvmf00000000000.jpg	41500.0	[]	1768.0	NC	93995.0	27830	78365435
2.0	3	Fremont	[u'Lot: 3.55 acres', u'Single Family', u'Built in 1990', u'All time views: 928', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Sep 2015 for $62,000', u'Last sale price/sqft: $40', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate', u'Porch', u'Unfinished basement', u'Dishwasher', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 1', u'Floor size: 1,568 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 092686350643', u'Zillow Home ID: 78381089']	http://photos3.zillowstatic.com/p_e/IS56sv1jlfb0y40000000000.jpg	62000.0	[]	1568.0	NC	69550.0	27830	78381089
