baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
5.0	4	Sapphire	[u'Baths: 3 full, 2 half', u'Lot: 0.79 acres', u'Single Family', u'Built in 2006', u'All time views: 2,836', u'Cooling: Central', u'Last sold: Aug 2016 for $437,500', u'Last sale price/sqft: $146', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Fitness Center', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Tennis Court', u'Vaulted Ceiling', u'View: Mountain', u'View: Exceptional', u'Heating: Central', u'Cooling: Electric', u'Frontage: None', u'View: Long', u'View: Year Round', u'Heating: Electric', u'Appliances: Disposal', u'Community Amenities: Paved Access', u'Construction: Wood Siding', u'Construction: Frame', u'Land Description: Gently Rolling', u'Land Description: Wooded', u'Community Amenities: Golf Course', u'Community Amenities: Pool', u'Car Storage: Double Garage', u'Appliances: Wall Oven', u'Land Description: Steep', u'None', u'Community Amenities: Gated Access', u'Community Amenities: Picnic Area', u'Car Storage: Door Opener', u'Breakfast Bar', u'Pantry', u'Other Rooms: Loft', u'Appliances: Cook-top Built-in Prop', u'Community Amenities: Playground', u'Eat-in Kitchen', u'Built-ins', u'Community Amenities: Community Center', u'Community Amenities: Pavilion', u'Property Status: Pending', u'Style: 2 Story', u'Style: Traditional', u'Dishwasher', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Other', u'Structure type: Other', u'Floor size: 3,001 sqft', u'Heating: Electric', u'Last remodel year: 2006', u'Laundry: In Unit', u'Parcel #: 7582627988', u'Zillow Home ID: 84701186']	http://photos3.zillowstatic.com/p_e/IS5eqvipx6jsza1000000000.jpg	437500.0	[]	3001.0	NC	529308.0	28774	84701186
2.0	3	Sapphire	[u'Lot: 0.55 acres', u'Single Family', u'Built in 1994', u'All time views: 2,302', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $220,000', u'Last sale price/sqft: $109', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Fitness Center', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Skylight', u'Tennis Court', u'Vaulted Ceiling', u'View: Mountain', u'Heating: Central', u'View: Golf Course', u'Frontage: Golf', u'View: Year Round', u'View: Good', u'View: Pond', u'Appliances: Disposal', u'Construction: Wood Siding', u'Construction: Frame', u'Land Description: Gently Rolling', u'Land Description: Wooded', u'Community Amenities: Golf Course', u'Community Amenities: Pool', u'Car Storage: Double Garage', u'Other Rooms: None', u'Community Amenities: Clubhouse', u'Community Amenities: Picnic Area', u'Breakfast Bar', u'Kitchen Island', u'Pantry', u'Community Amenities: Bike Trails', u'Community Amenities: Playground', u'Construction: Stone', u'Built-ins', u'Elevation: 3001-3500', u'Community Amenities: Barbeque', u'Community Amenities: Pavilion', u'Property Status: Pending', u'Style: 1 Story', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Floor size: 2,013 sqft', u'Heating: Other', u'Last remodel year: 1995', u'Laundry: In Unit', u'Parcel #: 8502507399000', u'Zillow Home ID: 102332675']	http://photos1.zillowstatic.com/p_e/IS1nmz0cnqqaf11000000000.jpg	220000.0	[]	2013.0	NC	348410.0	28774	102332675
2.0	3	Sapphire	[u'Lot: 0.69 acres', u'Single Family', u'Built in 1995', u'All time views: 1,473', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $240,000', u'Last sale price/sqft: $129', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Fitness Center', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Parking: Carport', u'Patio', u'Porch', u'Tennis Court', u'Vaulted Ceiling', u'View: Wooded', u'Heating: Central', u'Cooling: Electric', u'Frontage: None', u'Heating: Electric', u'Appliances: Disposal', u'Construction: Wood Siding', u'Construction: Frame', u'Land Description: Gently Rolling', u'Land Description: Wooded', u'Community Amenities: Golf Course', u'Community Amenities: Pool', u'Other Rooms: None', u'Community Amenities: Clubhouse', u'Community Amenities: Picnic Area', u'Community Amenities: Putting Green', u'Car Storage: Attached', u'Community Amenities: Bike Trails', u'Community Amenities: Playground', u'Eat-in Kitchen', u'Elevation: 3001-3500', u'Community Amenities: Barbeque', u'Community Amenities: Pavilion', u'Water Feature', u'Property Status: Pending', u'Style: 1 Story', u'Community Amenities: Croquet', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Floor size: 1,855 sqft', u'Last remodel year: 1995', u'Laundry: In Unit', u'Parcel #: 8501993924000', u'Zillow Home ID: 102312072']	http://photos2.zillowstatic.com/p_e/ISdghof4h89ost1000000000.jpg	240000.0	[]	1855.0	NC	250174.0	28774	102312072
3.0	4	Sapphire	[u'Lot: 0.76 acres', u'Single Family', u'Built in 1961', u'All time views: 3,308', u'Cooling: None', u'Heating: Baseboard', u'Last sold: May 2016 for $300,000', u'Last sale price/sqft: $149', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Parking: Carport, 2 spaces', u'Patio', u'Porch', u'Skylight', u'Vaulted Ceiling', u'View: Mountain', u'View: Exceptional', u'View: Golf Course', u'Frontage: Golf', u'Heating: Other-See Remarks', u'Construction: Wood Siding', u'Land Description: Near Level', u'Other Rooms: None', u'None', u'Pantry', u'Community Amenities: Other-See Remarks', u'Elevation: 3001-3500', u'Property Status: Pending', u'Style: 1 Story', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Bungalow', u'Floor size: 2,016 sqft', u'Last remodel year: 1961', u'Laundry: In Unit', u'Parcel #: 7582819072', u'Zillow Home ID: 84702155']	http://photos2.zillowstatic.com/p_e/IS5uu9lxefv02v0000000000.jpg	300000.0	[]	2016.0	NC	441307.0	28774	84702155
2.0	2	Sapphire	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1988', u'All time views: 2,506', u'Cooling: None', u'Heating: Forced air', u'Last sold: May 2016 for $85,000', u'Last sale price/sqft: $59', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Patio', u'Porch', u'Vaulted Ceiling', u'Frontage: Stream', u'View: Wooded', u'Heating: Central', u'View: Stream', u'Construction: Wood Siding', u'Land Description: Near Level', u'Car Storage: Single Garage', u'Other Rooms: None', u'Fireplace: Wood Stove', u'Community Amenities: None', u'None', u'Property Status: Pending', u'Style: 2 Story', u'Dryer', u'Washer', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Asphalt', u'Structure type: Bungalow', u'Floor size: 1,448 sqft', u'Heating: Gas', u'Last remodel year: 1993', u'Laundry: In Unit', u'Parcel #: 8511680592000', u'Zillow Home ID: 102347260']	http://photos1.zillowstatic.com/p_e/ISl2087dtpjaq61000000000.jpg	85000.0	[]	1448.0	NC	95329.0	28774	102347260
2.5	3	Sapphire	[u'Baths: 2 full, 1 half', u'Lot: 0.52 acres', u'Single Family', u'Built in 1991', u'All time views: 1,961', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $235,000', u'Last sale price/sqft: $84', u'Deck', u'Fireplace', u'Fitness Center', u'Flooring: Carpet, Hardwood', u'Garden', u'Parking: Garage - Attached, 2 spaces, 528 sqft garage', u'Patio', u'Porch', u'Tennis Court', u'Heating: Central', u'Cooling: Electric', u'Frontage: None', u'View: None', u'Heating: Electric', u'Appliances: Disposal', u'Community Amenities: Paved Access', u'Land Description: Near Level', u'Land Description: Wooded', u'Community Amenities: Golf Course', u'Community Amenities: Pool', u'Car Storage: Double Garage', u'Land Description: Cleared', u'Construction: Vinyl Siding', u'Community Amenities: Picnic Area', u'Car Storage: Attached', u'Fenced', u'Pantry', u'Community Amenities: Bike Trails', u'Community Amenities: Playground', u'Eat-in Kitchen', u'Community Amenities: Pond', u'Other Rooms: Bonus Room', u'Elevation: 3001-3500', u'Community Amenities: Barbeque', u'Community Amenities: Pavilion', u'TV: None', u'Property Status: Pending', u'Style: 2 Story', u'Dishwasher', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Walk-in closet', u'Roof type: Asphalt', u'Stories: 2', u'Floor size: 2,786 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 8502546033', u'Zillow Home ID: 84701649']	http://photos3.zillowstatic.com/p_e/ISlm73syls77j00000000000.jpg	235000.0	[]	2786.0	NC	294169.0	28774	84701649
6.0	4	Sapphire	[u'Baths: 4 full, 2 half', u'Lot: 4.52 acres', u'Single Family', u'Built in 2005', u'All time views: 1,362', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $499,000', u'Last sale price/sqft: $161', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Parking: Carport', u'Patio', u'Porch', u'Security System', u'Skylight', u'Vaulted Ceiling', u'View: Mountain, Water', u'Waterfront', u'Wet Bar', u'View: Exceptional', u'Frontage~Stream', u'Heating: Central', u'Cooling: Electric', u'View: River', u'Frontage: River', u'View: Year Round', u'Heating: Furnace', u'Appliances: Disposal', u'Land Description: Near Level', u'Construction: Frame', u'Window Treatments', u'Workshop', u'Workshop', u'Land Description: Subdividing Possible', u'Community Amenities: None', u'Appliances: Exhaust Hood', u'Car Storage: Attached', u'Car Storage: Parking Space', u'Fenced', u'Breakfast Bar', u'Other Rooms: Mud Room', u'Other Rooms: Office', u'Appliances: Other-See Remarks', u'Other Rooms: Other-See Remarks', u'Eat-in Kitchen', u'Appliances: Warming Drawer', u'Fire Pit', u'Other Rooms: Bonus Room', u'Wine Storage', u'Appliances: Wine Cooler', u'TV: Other-See Remarks', u'Construction: Fiber Cement', u'Property Status: Pending', u'Style: 2 Story', u'Style: Traditional', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Stone', u'Roof type: Metal', u'Room count: 7', u'Stories: 2', u'Floor size: 3,100 sqft', u'Heating: Gas', u'Last remodel year: 2005', u'Laundry: In Unit', u'Parcel #: 8500350411000', u'Zillow Home ID: 102247831']	http://photos2.zillowstatic.com/p_e/ISdc6hbazz93u41000000000.jpg	499000.0	[]	3100.0	NC	516682.0	28774	102247831
2.5	3	Sapphire	[u'Lot: 0.94 acres', u'Single Family', u'Built in 1999', u'All time views: 2,183', u'Cooling: Central', u'Heating: Other', u'Last sold: Apr 2016 for $320,000', u'Last sale price/sqft: $160', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Hardwood, Tile', u'Garden', u'Parking: Carport, 1 space', u'View: Mountain', u'Property Status: Active', u'Heating: Central', u'View: Great', u'View: Winter', u'Frontage: None', u'Heating: Furnace', u'Community Amenities: Paved Access', u'Land Description: Near Level', u'Construction: Frame', u'Land Description: Gently Rolling', u'Land Description: Wooded', u'Community Amenities: Pool', u'Workshop', u'Fireplace: Wood Stove', u'Community Amenities: Picnic Area', u'Other Rooms: Mud Room', u'TV: DSL', u'Community Amenities: Bike Trails', u'Community Amenities: Playground', u'Community Amenities: Pond', u'Community Amenities: Community Center', u'Elevation: 3001-3500', u'Construction: Fiber Cement', u'Style: 2 Story', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Roof type: Other', u'Structure type: Other', u'Floor size: 2,001 sqft', u'Last remodel year: 1999', u'Laundry: In Unit', u'Zillow Home ID: 2107707541']	http://photos1.zillowstatic.com/p_e/ISphadfi59ft311000000000.jpg	320000.0	[]	2001.0	NC	384288.0	28774	2107707541
3.0	3	Sapphire	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1984', u'All time views: 1,406', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $450,000', u'Last sale price/sqft: $178', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces, 436 sqft garage', u'View: Mountain', u'Heating: Central', u'View: Good', u'Frontage: Pond', u'View: Pond', u'Appliances: Disposal', u'Community Amenities: Paved Access', u'Construction: Wood Siding', u'Land Description: Near Level', u'Construction: Frame', u'Community Amenities: Golf Course', u'Community Amenities: Pool', u'Car Storage: Double Garage', u'Pond', u'Community Amenities: Gated Access', u'Community Amenities: Picnic Area', u'Community Amenities: Bike Trails', u'Community Amenities: Pond', u'Community Amenities: Community Center', u'Community Amenities: Additional Parking', u'Elevation: 3001-3500', u'Community Amenities: Pavilion', u'Property Status: Pending', u'Style: 1.5 Story', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,534 sqft', u'Last remodel year: 1984', u'Laundry: In Unit', u'Parcel #: 7582726617', u'Zillow Home ID: 84715801']	http://photos3.zillowstatic.com/p_e/ISlm7rynsnzurh1000000000.jpg	450000.0	[]	2534.0	NC	457530.0	28774	84715801
3.0	4	Sapphire	[u'Lot: 0.31 acres', u'Single Family', u'Built in 2013', u'All time views: 667', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $367,000', u'Last sale price/sqft: $155', u'Cable Ready', u'Deck', u'Fireplace', u'Fitness Center', u'Flooring: Hardwood, Tile', u'Parking: 440 sqft garage', u'Patio', u'Porch', u'Tennis Court', u'Vaulted Ceiling', u'View: Mountain', u'Heating: Central', u'Cooling: Electric', u'View: Winter', u'Frontage: None', u'View: Good', u'Community Amenities: Paved Access', u'Construction: Frame', u'Window Treatments', u'Community Amenities: Golf Course', u'Community Amenities: Pool', u'Car Storage: Double Garage', u'Land Description: Cleared', u'Community Amenities: Gated Access', u'Community Amenities: Picnic Area', u'Car Storage: Attached', u'Breakfast Bar', u'Kitchen Island', u'TV: DSL', u'Community Amenities: Playground', u'Community Amenities: Community Center', u'Community Amenities: Pavilion', u'Property Status: Pending', u'Style: 1 Story', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 2,368 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 7582638738', u'Zillow Home ID: 109936434']	http://photos2.zillowstatic.com/p_e/IStkbf97f0urgu0000000000.jpg	367000.0	[]	2368.0	NC	396444.0	28774	109936434
3.0	4	Sapphire	[u'Lot: 0.64 acres', u'Single Family', u'Built in 2012', u'All time views: 354', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $3,000', u'Last sale price/sqft: $1', u'Ceiling Fan', u'Deck', u'Fireplace', u'Fitness Center', u'Flooring: Hardwood, Tile', u'Hot Tub/Spa', u'Parking: 400 sqft garage', u'Patio', u'Porch', u'Security System', u'Tennis Court', u'Vaulted Ceiling', u'View: Mountain', u'Property Status: Active', u'Frontage: None', u'View: Good', u'Appliances: Disposal', u'Community Amenities: Paved Access', u'Construction: Wood Siding', u'Land Description: Gently Rolling', u'Community Amenities: Golf Course', u'Community Amenities: Pool', u'Car Storage: Double Garage', u'Community Amenities: Gated Access', u'Community Amenities: Picnic Area', u'Car Storage: Attached', u'Breakfast Bar', u'Kitchen Island', u'Pantry', u'TV: DSL', u'Community Amenities: Playground', u'Construction: Stone', u'Fire Pit', u'Community Amenities: Community Center', u'Community Amenities: Pavilion', u'Style: 1 Story', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 2,186 sqft', u'Laundry: In Unit', u'Parcel #: 7582639765', u'Zillow Home ID: 109930301']	http://photos1.zillowstatic.com/p_e/ISuw07hz2x6s130000000000.jpg	3000.0	[]	2186.0	NC	389120.0	28774	109930301
5.0	4	Sapphire	[u'Baths: 3 full, 2 half', u'Lot: 0.79 acres', u'Single Family', u'Built in 2006', u'All time views: 2,837', u'Cooling: Central', u'Last sold: Aug 2016 for $437,500', u'Last sale price/sqft: $146', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Fitness Center', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Tennis Court', u'Vaulted Ceiling', u'View: Mountain', u'View: Exceptional', u'Heating: Central', u'Cooling: Electric', u'Frontage: None', u'View: Long', u'View: Year Round', u'Heating: Electric', u'Appliances: Disposal', u'Community Amenities: Paved Access', u'Construction: Wood Siding', u'Construction: Frame', u'Land Description: Gently Rolling', u'Land Description: Wooded', u'Community Amenities: Golf Course', u'Community Amenities: Pool', u'Car Storage: Double Garage', u'Appliances: Wall Oven', u'Land Description: Steep', u'None', u'Community Amenities: Gated Access', u'Community Amenities: Picnic Area', u'Car Storage: Door Opener', u'Breakfast Bar', u'Pantry', u'Other Rooms: Loft', u'Appliances: Cook-top Built-in Prop', u'Community Amenities: Playground', u'Eat-in Kitchen', u'Built-ins', u'Community Amenities: Community Center', u'Community Amenities: Pavilion', u'Property Status: Pending', u'Style: 2 Story', u'Style: Traditional', u'Dishwasher', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Other', u'Structure type: Other', u'Floor size: 3,001 sqft', u'Heating: Electric', u'Last remodel year: 2006', u'Laundry: In Unit', u'Parcel #: 7582627988', u'Zillow Home ID: 84701186']	http://photos3.zillowstatic.com/p_e/IS5eqvipx6jsza1000000000.jpg	437500.0	[]	3001.0	NC	529308.0	28774	84701186
2.0	3	Sapphire	[u'Lot: 0.55 acres', u'Single Family', u'Built in 1994', u'All time views: 2,303', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $220,000', u'Last sale price/sqft: $109', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Fitness Center', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Skylight', u'Tennis Court', u'Vaulted Ceiling', u'View: Mountain', u'Heating: Central', u'View: Golf Course', u'Frontage: Golf', u'View: Year Round', u'View: Good', u'View: Pond', u'Appliances: Disposal', u'Construction: Wood Siding', u'Construction: Frame', u'Land Description: Gently Rolling', u'Land Description: Wooded', u'Community Amenities: Golf Course', u'Community Amenities: Pool', u'Car Storage: Double Garage', u'Other Rooms: None', u'Community Amenities: Clubhouse', u'Community Amenities: Picnic Area', u'Breakfast Bar', u'Kitchen Island', u'Pantry', u'Community Amenities: Bike Trails', u'Community Amenities: Playground', u'Construction: Stone', u'Built-ins', u'Elevation: 3001-3500', u'Community Amenities: Barbeque', u'Community Amenities: Pavilion', u'Property Status: Pending', u'Style: 1 Story', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Floor size: 2,013 sqft', u'Heating: Other', u'Last remodel year: 1995', u'Laundry: In Unit', u'Parcel #: 8502507399000', u'Zillow Home ID: 102332675']	http://photos1.zillowstatic.com/p_e/IS1nmz0cnqqaf11000000000.jpg	220000.0	[]	2013.0	NC	348410.0	28774	102332675
