baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	2	Alturas	[u'Lot: 0.28 acres', u'Single Family', u'Built in 1933', u'All time views: 1,151', u'Cooling: None', u'Last sold: Mar 2016 for $70,000', u'Last sale price/sqft: $56', u'Ceiling Fan', u'Fireplace', u'Parking: 1 space', u'Patio', u'RV Parking', u'View: Mountain', u'Features And Inclusions: Access- All Year', u'Features And Inclusions: Lawn', u'Features And Inclusions: Trees', u'Features And Inclusions: D Hookups', u'Features And Inclusions: Water Heater', u'Features And Inclusions: Window Coverings', u'Features And Inclusions: Oven-range', u'Property Style: 1 story above ground', u'Features And Inclusions: Fenced Part', u'Features And Inclusions: Landscape- Part', u'Basement: None', u'Features And Inclusions: Sprinklers Manual', u'Features And Inclusions: Gutters & Downspouts', u'Features And Inclusions: Dog Run', u'Features And Inclusions: Garden Area', u'Features And Inclusions: Out Buildings', u'Features And Inclusions: Wood Burning Stove', u'Foundation: Crawl Space', u'Heating: Wood Burn. Stove', u'Property Type: Single Family Building', u'Features And Inclusions: Storage Shed', u'Exterior Construction: Lap', u'Heating: oil', u'Features And Inclusions: Deck', u'Allow Address Display: Yes', u'Allow Automated Valuations: Yes', u'Allow Public Commentary: Yes', u'Lawn', u'Access- All Year', u'Oven-range', u'Trees', u'Walk-in Closets', u'Utilities: Power: Line To Property', u'Refrigerator', u'D Hookups', u'Ceiling Fans', u'Fenced Part', u'Window Coverings', u'View of Mountains', u'Utilities: Assessments Paid', u'Utilities: Municipal', u'Utilities: Legal Access: Yes', u'Patio: Uncovered', u'Landscape- Part', u'Utilities: Phone: Land Line', u'Utilities: Garbage Collection', u'Utilities: Phone: Cell Service', u'Out Buildings', u'Gutters & Downspouts', u'Utilities: Sewer: To Property', u'Boat Parking', u'Water Heater', u'Satellite Dish', u'Sprinklers Manual', u'Garden Area', u'Dog Run', u'Wood Burning Stove', u'Storage Shed', u'Deck', u'Refrigerator', u'Walk-in closet', u'Roof type: Composition', u'Stories: 0', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,260 sqft', u'Parcel #: 0021502511', u'Zillow Home ID: 19114260']	http://photos1.zillowstatic.com/p_e/ISxvec7044uq1r1000000000.jpg	70000.0	[]	1260.0	CA	72200.0	96101	19114260
1.0	2	Alturas	[u'Lot: 5,227 sqft', u'Single Family', u'Built in 1912', u'All time views: 352', u'Last sold: Mar 2016 for $55,000', u'Last sale price/sqft: $36', u'Fireplace', u'Access- All Year', u'Fenced Part', u'Fireplace', u'Gutters & Downspouts', u'Handicap Features', u'Landscape- Part', u'Lawn', u'Oven-range', u'Porch/Deck', u'W/D Hookups', u'Water Heater', u'Wheel chair access', u'Window Coverings', u'Roof type: Composition', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,531 sqft', u'Parcel #: 0032420711', u'Zillow Home ID: 19114997']	http://photos3.zillowstatic.com/p_e/IS5u2wz5va9o7r0000000000.jpg	55000.0	[]	1531.0	CA	57903.0	96101	19114997
2.0	3	Alturas	[u'Lot: 7,840 sqft', u'Single Family', u'Built in 1946', u'All time views: 1,815', u'Cooling: None', u'Heating: Stove', u'Last sold: Feb 2016 for $53,000', u'Last sale price/sqft: $35', u'Ceiling Fan', u'Fireplace', u'Parking: 1 space', u'Patio', u'RV Parking', u'View: Mountain', u'Features And Inclusions: Access- All Year', u'Features And Inclusions: Lawn', u'Features And Inclusions: Trees', u'Features And Inclusions: D Hookups', u'Features And Inclusions: Water Heater', u'Features And Inclusions: Window Coverings', u'Features And Inclusions: Oven-range', u'Property Style: 1 story above ground', u'Features And Inclusions: Fenced Full', u'Features And Inclusions: Landscape- Part', u'Basement: None', u'Features And Inclusions: Work Shop', u'Features And Inclusions: Out Buildings', u'Features And Inclusions: Wood Burning Stove', u'Foundation: Crawl Space', u'Heating: Wood Burn. Stove', u'Property Type: Single Family Building', u'Heating: oil', u'Exterior Construction: Plaster', u'Allow Address Display: Yes', u'Allow Automated Valuations: Yes', u'Allow Public Commentary: Yes', u'Lawn', u'Access- All Year', u'Oven-range', u'Trees', u'Dishwasher', u'Fenced Full', u'Utilities: Power: Line On Meter', u'D Hookups', u'Ceiling Fans', u'Window Coverings', u'Patio: Covered', u'Utilities: Municipal', u'Utilities: Sewer: Hooked-up', u'Landscape- Part', u'Utilities: Phone: Land Line', u'Utilities: Municipal', u'Out Buildings', u'Utilities: Propane: Hooked-up', u'Boat Parking', u'Water Heater', u'Utilities: Drinking', u'Utilities: Propane: Plumbed', u'Work Shop', u'Wood Burning Stove', u'Dishwasher', u'Exterior material: Stucco', u'Roof type: Composition', u'Room count: 8', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,516 sqft', u'Heating: Gas, Other', u'Parcel #: 0021620411', u'Zillow Home ID: 19114281']	http://photos3.zillowstatic.com/p_e/ISl200p59m5n700000000000.jpg	53000.0	[]	1516.0	CA	90669.0	96101	19114281
1.0	2	Alturas	[u'Lot: 8,712 sqft', u'Single Family', u'Built in 1946', u'All time views: 709', u'Cooling: None', u'Last sold: Feb 2016 for $73,500', u'Last sale price/sqft: $58', u'Parking: 1 space', u'Patio', u'View: Mountain', u'Foundation: Slab on Grade', u'Features And Inclusions: Access- All Year', u'Features And Inclusions: Landscape- Full', u'Features And Inclusions: Lawn', u'Features And Inclusions: Sprinkler Drip System', u'Features And Inclusions: Trees', u'Features And Inclusions: D Hookups', u'Features And Inclusions: Water Heater', u'Features And Inclusions: Window Coverings', u'Features And Inclusions: Oven-range', u'Property Style: 1 story above ground', u'Features And Inclusions: Fenced Full', u'Basement: None', u'Property Style: Traditional', u'Features And Inclusions: Gutters & Downspouts', u'Features And Inclusions: Out Buildings', u'Property Type: Single Family Building', u'Heating: oil', u'Heating: Electric Baseboard', u'Allow Address Display: Yes', u'Allow Automated Valuations: Yes', u'Landscape- Full', u'Allow Public Commentary: Yes', u'Lawn', u'Access- All Year', u'Oven-range', u'Trees', u'Fenced Full', u'Refrigerator', u'Utilities: Power: 220 volt', u'Sprinkler Drip System', u'D Hookups', u'Washer & Dryer', u'Window Coverings', u'View of Mountains', u'Utilities: DSL', u'Patio: Covered', u'Utilities: Municipal', u'Utilities: Legal Access: Yes', u'Utilities: Sewer: Hooked-up', u'Utilities: Phone: Land Line', u'Utilities: Phone: Cell Service', u'Out Buildings', u'Gutters & Downspouts', u'Water Heater', u'Dryer', u'Refrigerator', u'Washer', u'Exterior material: Vinyl', u'Roof type: Metal', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,264 sqft', u'Laundry: In Unit', u'Parcel #: 0030441111', u'Zillow Home ID: 19114631']	http://photos1.zillowstatic.com/p_e/IS9l2lh3izbm0s1000000000.jpg	73500.0	[]	1264.0	CA	78329.0	96101	19114631
1.0	2	Alturas	[u'Lot: 8,712 sqft', u'Single Family', u'Built in 1928', u'All time views: 1,498', u'Last sold: Jun 2016 for $18,000', u'Last sale price/sqft: $17', u'Parking: Garage - Detached, 2 spaces', u'Fenced Part', u'Landscape- Part', u'Lawn', u'Storage Shed', u'Trees', u'Washer & Dryer', u'Corner Lot', u'Curb & Gutter', u'Riverfront Property', u'Exterior material: Stucco', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,062 sqft', u'Parcel #: 0032511811', u'Zillow Home ID: 69246083']	http://photos3.zillowstatic.com/p_e/IS1mjdnq16475b7.jpg	18000.0	[]	1062.0	CA	60698.0	96101	69246083
1.0	3	Alturas	[u'Lot: 6,098 sqft', u'Single Family', u'Built in 1945', u'All time views: 260', u'Last sold: May 2016 for $92,000', u'Last sale price/sqft: $79', u'Parking: Garage - Detached, 2 spaces', u'Access- All Year', u'Ceiling Fans', u'Dishwasher', u'Fenced Part', u'Lawn', u'RV/ Boat Parking', u'W/D Hookups', u'Water Heater', u'Exterior material: Stucco', u'Roof type: Composition', u'Stories: 2', u'Unit count: 1', u'Floor size: 1,170 sqft', u'Parcel #: 0030440511', u'Zillow Home ID: 19114626']	http://photos2.zillowstatic.com/p_e/IS-9mh8xyh9e4wt.jpg	92000.0	[]	1170.0	CA	102593.0	96101	19114626
2.0	3	Alturas	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1979', u'All time views: 673', u'Last sold: Apr 2016 for $118,000', u'Last sale price/sqft: $103', u'Ceiling Fan', u'Fireplace', u'Parking: 1 space', u'Patio', u'View: Mountain', u'Features And Inclusions: Access- All Year', u'Features And Inclusions: Lawn', u'Features And Inclusions: Trees', u'Features And Inclusions: D Hookups', u'Features And Inclusions: Water Heater', u'Features And Inclusions: Window Coverings', u'Features And Inclusions: Oven-range', u'Property Style: 1 story above ground', u'Features And Inclusions: Fenced Part', u'Features And Inclusions: Landscape- Part', u'Basement: None', u'Property Style: Traditional', u'Features And Inclusions: Garden Area', u'Exterior Construction: Wallboard', u'Features And Inclusions: Out Buildings', u'Features And Inclusions: Wood Burning Stove', u'Foundation: Crawl Space', u'Heating: Wood Burn. Stove', u'Property Type: Single Family Building', u'Features And Inclusions: Storage Shed', u'Heating: oil', u'Features And Inclusions: Deck', u'Heating: Electric Baseboard', u'Allow Address Display: Yes', u'Allow Automated Valuations: Yes', u'Lawn', u'Access- All Year', u'Oven-range', u'Trees', u'Dishwasher', u'Walk-in Closets', u'Utilities: Power: Line To Property', u'Refrigerator', u'Utilities: Power: 220 volt', u'D Hookups', u'Ceiling Fans', u'Fenced Part', u'Window Coverings', u'View of Mountains', u'Patio: Covered', u'Utilities: Municipal', u'Utilities: Legal Access: Yes', u'Utilities: Sewer: Hooked-up', u'Landscape- Part', u'Utilities: Phone: Land Line', u'Utilities: Garbage Collection', u'Utilities: Municipal', u'Out Buildings', u'Utilities: Propane: Hooked-up', u'Water Heater', u'Satellite Dish', u'Utilities: Wireless', u'Garden Area', u'Wood Burning Stove', u'Storage Shed', u'Deck', u'Dishwasher', u'Refrigerator', u'Walk-in closet', u'Roof type: Composition', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,144 sqft', u'Parcel #: 0010810311', u'Zillow Home ID: 19113986']	http://photos1.zillowstatic.com/p_e/IS9ptw7yf01ggt0000000000.jpg	118000.0	[]	1144.0	CA	115379.0	96101	19113986
1.0	2	Alturas	[u'Lot: 6,098 sqft', u'Single Family', u'Built in 1929', u'All time views: 4,622', u'Last sold: Apr 2016 for $25,000', u'Last sale price/sqft: $20', u'Ceiling Fan', u'Parking: Garage - Detached, 1 space', u'Features And Inclusions: Access- All Year', u'Features And Inclusions: Landscape- Full', u'Features And Inclusions: Lawn', u'Features And Inclusions: Sprinklers Automatic', u'Features And Inclusions: D Hookups', u'Features And Inclusions: Water Heater', u'Property Style: 1 story above ground', u'Features And Inclusions: Fenced Full', u'Basement: None', u'Features And Inclusions: Work Shop', u'Features And Inclusions: Garden Area', u'Features And Inclusions: Out Buildings', u'Foundation: Crawl Space', u'Property Style: Cottage', u'Exterior Construction: Mason Board', u'Property Type: Single Family Building', u'Heating: oil', u'Features And Inclusions: Deck', u'Allow Address Display: Yes', u'Allow Automated Valuations: Yes', u'Landscape- Full', u'Lawn', u'Access- All Year', u'Fenced Full', u'Sprinklers Automatic', u'D Hookups', u'Ceiling Fans', u'Utilities: Municipal', u'Utilities: Legal Access: Yes', u'Utilities: Sewer: Hooked-up', u'Utilities: Municipal', u'Out Buildings', u'Water Heater', u'Garden Area', u'Work Shop', u'Deck', u'Refrigerator', u'Exterior material: Other', u'Roof type: Composition', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,240 sqft', u'Heating: Gas', u'Parcel #: 0021650111', u'Zillow Home ID: 19114299']	http://photos1.zillowstatic.com/p_e/ISd0dewpm901tn0000000000.jpg	25000.0	[]	1240.0	CA	0.0	96101	19114299
1.5	3	Alturas	[u'Lot: 4,356 sqft', u'Single Family', u'Built in 1905', u'All time views: 1,026', u'Cooling: None', u'Last sold: Apr 2016 for $57,000', u'Last sale price/sqft: $43', u'View: Mountain', u'Features And Inclusions: Access- All Year', u'Features And Inclusions: Lawn', u'Features And Inclusions: D Hookups', u'Features And Inclusions: Water Heater', u'Features And Inclusions: Window Coverings', u'Features And Inclusions: Oven-range', u'Property Style: 1 story above ground', u'Features And Inclusions: Fenced Full', u'Features And Inclusions: Landscape- Part', u'Basement: None', u'Features And Inclusions: Sprinklers Manual', u'Features And Inclusions: Dog Run', u'Features And Inclusions: Garden Area', u'Foundation: Crawl Space', u'Property Style: Cottage', u'Property Type: Single Family Building', u'Features And Inclusions: Storage Shed', u'Heating: oil', u'Features And Inclusions: Deck', u'Heating: Electric Baseboard', u'Allow Address Display: Yes', u'Allow Automated Valuations: Yes', u'Allow Public Commentary: Yes', u'Lawn', u'Access- All Year', u'Oven-range', u'Dishwasher', u'Walk-in Closets', u'Fenced Full', u'Utilities: Power: Line To Property', u'Refrigerator', u'D Hookups', u'Ceiling Fans', u'Window Coverings', u'View of Mountains', u'Utilities: Assessments Paid', u'Utilities: DSL', u'Patio: Covered', u'Utilities: Municipal', u'Utilities: Legal Access: Yes', u'Landscape- Part', u'Utilities: Phone: Land Line', u'Utilities: Garbage Collection', u'Utilities: Phone: Cell Service', u'Utilities: Sewer: To Property', u'Water Heater', u'Satellite Dish', u'Sprinklers Manual', u'Garden Area', u'Dog Run', u'Storage Shed', u'Deck', u'Dishwasher', u'Refrigerator', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,320 sqft', u'Parcel #: 0030421311', u'Zillow Home ID: 19114622']	http://photos1.zillowstatic.com/p_e/ISd87bkcgrmmnm0000000000.jpg	57000.0	[]	1320.0	CA	59049.0	96101	19114622
2.0	3	Alturas	[u'Lot: 10,018 sqft', u'Single Family', u'Built in 1980', u'13 days on Zillow', u'Views since listing: 381', u'All time views: 837', u'4 shoppers saved this home', u'Last sold: Mar 2016 for $45,000', u'Last sale price/sqft: $43', u'MLS #: 2904860', u'Ceiling Fan', u'Features And Inclusions: Access- All Year', u'Features And Inclusions: Lawn', u'Features And Inclusions: Trees', u'Features And Inclusions: D Hookups', u'Features And Inclusions: Water Heater', u'Features And Inclusions: Window Coverings', u'Property Style: 1 story above ground', u'Basement: None', u'Features And Inclusions: Dog Run', u'Features And Inclusions: Garden Area', u'Cooling: Window Unit', u'Foundation: Crawl Space', u'Property Type: Single Family Building', u'Features And Inclusions: Storage Shed', u'Heating: oil', u'Heating: Electric Baseboard', u'Allow Address Display: Yes', u'Allow Automated Valuations: Yes', u'Allow Public Commentary: Yes', u'Utilities: Power: Line On Meter', u'Utilities: Power: 220 volt', u'Ceiling Fans', u'Window Coverings', u'Utilities: Municipal', u'Utilities: Sewer: Hooked-up', u'Utilities: Propane: Plumbed', u'Dog Run', u'Garden Area', u'Lawn', u'Storage Shed', u'Trees', u'Access- All Year', u'Fenced- Partial', u'Features And Inclusions: Fenced- Partial', u'Dishwasher', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 0', u'Floor size: 1,054 sqft', u'Parcel #: 0032050911', u'Zillow Home ID: 19114924']	http://photos2.zillowstatic.com/p_e/ISewpljphekfre1000000000.jpg	45000.0	[]	1054.0	CA	74391.0	96101	19114924
2.0	3	Alturas	[u'Lot: 7,405 sqft', u'Single Family', u'Built in 1977', u'All time views: 1,749', u'Heating: Baseboard', u'Last sold: Mar 2016 for $96,000', u'Last sale price/sqft: $84', u'Ceiling Fan', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'View: Mountain', u'Features And Inclusions: Access- All Year', u'Features And Inclusions: Landscape- Full', u'Features And Inclusions: Lawn', u'Features And Inclusions: Sprinklers Automatic', u'Features And Inclusions: Trees', u'Features And Inclusions: D Hookups', u'Features And Inclusions: Water Heater', u'Features And Inclusions: Window Coverings', u'Features And Inclusions: Oven-range', u'Property Style: 1 story above ground', u'Features And Inclusions: Fenced Part', u'Basement: None', u'Features And Inclusions: Gutters & Downspouts', u'Features And Inclusions: Dog Run', u'Features And Inclusions: Work Shop', u'Features And Inclusions: Garden Area', u'Features And Inclusions: Out Buildings', u'Foundation: Crawl Space', u'Cooling: Evap Cooler', u'Property Type: Single Family Building', u'Features And Inclusions: Storage Shed', u'Heating: oil', u'Features And Inclusions: Deck', u'Heating: Electric Baseboard', u'Allow Address Display: Yes', u'Allow Automated Valuations: Yes', u'Landscape- Full', u'Allow Public Commentary: Yes', u'Lawn', u'Access- All Year', u'Oven-range', u'Trees', u'Dishwasher', u'Walk-in Closets', u'Utilities: Power: Line To Property', u'Garbage Disposal', u'Refrigerator', u'Sprinklers Automatic', u'D Hookups', u'Ceiling Fans', u'Fenced Part', u'Window Coverings', u'View of Mountains', u'Utilities: Assessments Paid', u'Utilities: DSL', u'Utilities: Municipal', u'Utilities: Legal Access: Yes', u'Patio: Uncovered', u'Utilities: Sewer: Hooked-up', u'Utilities: Phone: Land Line', u'Utilities: Garbage Collection', u'Utilities: Phone: Cell Service', u'Out Buildings', u'Gutters & Downspouts', u'Utilities: Sewer: To Property', u'Water Heater', u'Satellite Dish', u'Garden Area', u'Dog Run', u'Work Shop', u'Storage Shed', u'Deck', u'Dishwasher', u'Garbage disposal', u'Refrigerator', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 7', u'Stories: 0', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,144 sqft', u'Heating: Electric, Gas', u'Parcel #: 0010831011', u'Zillow Home ID: 19114011']	http://photos3.zillowstatic.com/p_e/IS5ardi8cu79ps1000000000.jpg	96000.0	[]	1144.0	CA	109712.0	96101	19114011
