baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	4	Creedmoor	[u'Lot: 0.32 acres', u'Single Family', u'Built in 2000', u'All time views: 5,593', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $228,000', u'Last sale price/sqft: $121', u'Flooring: Carpet, Hardwood', u'Parking: Garage - Attached, 4 spaces, 400 sqft garage', u'Porch', u'Age: 11-20 Years Old', u'Garage Count: 2 Car Garage', u'Sewer: City', u'Water: City Water', u'Lot Size: 2 - 1 Acre', u'Basement: Crawl Space', u'Heating Type: Multi-Zone Heat', u'Cooling: C', u'Garage Description: Garage', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Breakfast nook', u'Dining room', u'Family room', u'Exterior material: Brick, Other', u'Foundation type: Other', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,891 sqft', u'Laundry: In Unit', u'Parcel #: 180603128016', u'Zillow Home ID: 93023185']	http://photos1.zillowstatic.com/p_e/IS9pph1wgfazi11000000000.jpg	228000.0	[]	1891.0	NC	189868.0	27522	93023185
2.0	3	Creedmoor	[u'Lot: 1 acre', u'Single Family', u'Built in 1994', u'All time views: 6,968', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jun 2016 for $130,000', u'Last sale price/sqft: $65', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Carport', u'Granite countertop', u'Jacuzzi / Whirlpool', u'Living room', u'Dishwasher', u'Microwave', u'Range / Oven', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Other', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Floor size: 2,000 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: 181400865310', u'Zillow Home ID: 93020528']	http://photos2.zillowstatic.com/p_e/ISdgt12gzemjek1000000000.jpg	130000.0	[]	2000.0	NC	204211.0	27522	93020528
2.0	3	Creedmoor	[u'Lot: 0.57 acres', u'Single Family', u'Built in 2001', u'All time views: 657', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jun 2016 for $127,000', u'Last sale price/sqft: $108', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached, 200 sqft garage', u'Porch', u'A: Central Air', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Water: City Sewer', u'Master Bedroom Floor: Main', u'Water: City Water', u'Bedroom 2 Floor: Main', u'Shower', u'Inside City: Yes', u'Bedroom 3 Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Open', u'Dining: Eat-in Kitchen', u'Garage Floor: Main', u'Style: Ranch', u'Roof: Roof Age 11+ Years', u'Fiberglass Bath', u'Special Conditions: In Foreclosure process', u'Parking: Garage', u'Subdivision: Blackstone Village', u'Restrictive Covenants: Yes', u'Acres: .51-.75 Acres', u'Dryer', u'Washer', u'Exterior material: Vinyl', u'Foundation type: Other', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,178 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: 087501493687', u'Zillow Home ID: 93029039']	http://photos2.zillowstatic.com/p_e/IS1ny8gj2ryn6o1000000000.jpg	127000.0	[]	1178.0	NC	127086.0	27522	93029039
1.0	3	Creedmoor	[u'Lot: 8,712 sqft', u'Single Family', u'Built in 1940', u'All time views: 179', u'Cooling: Central', u'Heating: Other', u'Last sold: Jun 2016 for $5,000', u'Last sale price/sqft: $5', u'Exterior material: Stone', u'Foundation type: Concrete Block', u'Roof type: Asphalt', u'Room count: 4', u'Stories: 1', u'Floor size: 956 sqft', u'Parcel #: 089618418942', u'Zillow Home ID: 94879924']	http://photos3.zillowstatic.com/p_e/IS-1myf33l54v719.jpg	5000.0	[]	956.0	NC	104374.0	27522	94879924
2.0	3	Creedmoor	[u'Single Family', u'Built in 2002', u'All time views: 1,544', u'Cooling: Other', u'Heating: Other', u'Last sold: Jun 2016 for $159,000', u'Last sale price/sqft: $144', u'Fireplace', u'Parking: Garage - Attached, 200 sqft garage', u'Exterior material: Other', u'Foundation type: Other', u'Roof type: Asphalt', u'Stories: 1.5', u'Floor size: 1,102 sqft', u'Heating: Other', u'Parcel #: 087501493889', u'Zillow Home ID: 93029040']	http://photos2.zillowstatic.com/p_e/ISplp7gkup3y7a1000000000.jpg	159000.0	[]	1102.0	NC	161938.0	27522	93029040
3.0	3	Creedmoor	[u'Baths: 2 full, 1 half', u'Lot: 0.36 acres', u'Single Family', u'Built in 2013', u'All time views: 2,740', u'HOA Fee: $26/mo', u'Cooling: Other', u'Heating: Other', u'Last sold: Jun 2016 for $207,000', u'Last sale price/sqft: $85', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 200 sqft garage', u'Security System', u'A: C', u'Attic Description: Floored', u'Basement Description: No Basement', u'Sep Shower', u'Equipment: Disposal', u'Fuel Heat: Electric Fuel', u'Heating: Dual Zone Heat', u'HO Fees Include: Maint Com. Area', u'HO Fees Include: Maint. Grnd', u'Lot Description: Landscaped', u'Roof: Shingle', u'Style: Traditional', u'Inside City: Yes', u'Design: 2 Story', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Lot Description: Hardwood Trees', u'Other Rooms: Utility Room', u'Parking: Front', u'Breakfast Room Floor: Main', u'Garage Floor: Main', u'Equipment: Garage Opener', u'Exterior Finish: Shake', u'Other Rooms: Finish', u'Style: Transitional', u'Foundation: Slab', u'Utility Room Floor: Second', u'Attic Description: Walk In', u'Water Heater: Tankless', u'Other Rooms: Great Room', u'Other Rooms: Loft Rm', u'Bonus Room Floor: Third', u'Subdivision: Pine Valley', u'Parking: Garage', u'9 Ft Ceiling', u'Restrictive Covenants: Yes', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Quarterly', u'Acres: .26-.5 Acres', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Walk-in closet', u'Exterior material: Brick, Other, Vinyl', u'Foundation type: Slab', u'Roof type: Tile', u'Room count: 10', u'Stories: 3', u'Structure type: Other', u'Floor size: 2,448 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: 089604748846', u'Zillow Home ID: 125034411']	http://photos3.zillowstatic.com/p_e/IS5a3bk1ilm9631000000000.jpg	207000.0	[]	2448.0	NC	195716.0	27522	125034411
3.0	4	Creedmoor	[u'Baths: 2 full, 1 half', u'Lot: 1 acre', u'Single Family', u'Built in 2006', u'All time views: 1,593', u'Cooling: Other', u'Heating: Other', u'Last sold: Aug 2016 for $185,000', u'Last sale price/sqft: $97', u'Fireplace', u'Parking: Garage - Attached, Off street, 400 sqft garage', u'Exterior material: Other', u'Foundation type: Other', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,904 sqft', u'Heating: Other', u'Parcel #: 180603304916', u'Zillow Home ID: 94875962']	http://photos1.zillowstatic.com/p_e/ISyjlp0df6glbx1000000000.jpg	185000.0	[]	1904.0	NC	188230.0	27522	94875962
2.5	4	Creedmoor	[u'Lot: 0.29 acres', u'Single Family', u'Built in 2010', u'All time views: 407', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $215,000', u'Last sale price/sqft: $76', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 400 sqft garage', u'Porch', u'Security System', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Other', u'Roof type: Asphalt', u'Room count: 10', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,832 sqft', u'Heating: Electric, Gas', u'Parcel #: 088508992620', u'Zillow Home ID: 103940105']	http://photos3.zillowstatic.com/p_e/ISh715kxnr5d6t0000000000.jpg	215000.0	[]	2832.0	NC	224241.0	27522	103940105
2.0	4	Creedmoor	[u'Lot: 1 acre', u'Single Family', u'Built in 1999', u'All time views: 4,741', u'Cooling: Central', u'Heating: Other', u'Last sold: Jul 2016 for $74,000', u'Last sale price/sqft: $44', u'Fireplace', u'Exterior material: Other', u'Foundation type: Other', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,674 sqft', u'Parcel #: 087604741419', u'Zillow Home ID: 93029297']	http://photos2.zillowstatic.com/p_e/IS5e2lyvk26er91000000000.jpg	74000.0	[]	1674.0	NC	103722.0	27522	93029297
3.0	3	Creedmoor	[u'Lot: 3.45 acres', u'Single Family', u'Built in 1993', u'All time views: 2,094', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $250,000', u'Last sale price/sqft: $83', u'368 sqft basement', u'Ceiling Fan', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Hardwood, Tile', u'Lawn', u'Mother-in-Law Apartment', u'Parking: Garage - Attached, 4 spaces, 576 sqft garage', u'Patio', u'Storage', u'Cable-ready', u'Granite countertop', u'Living room', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Family room', u'Master bath', u'Mud room', u'Walk-in closet', u'Exterior material: Stone, Vinyl', u'Roof type: Other', u'Room count: 14', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,016 sqft', u'Last remodel year: 1993', u'Laundry: In Unit, Shared', u'Parcel #: 088401152259000', u'Zillow Home ID: 6490782']	http://photos3.zillowstatic.com/p_e/IS91rq6nj55re90000000000.jpg	250000.0	[]	3016.0	NC	268054.0	27522	6490782
2.0	3	Creedmoor	[u'Lot: 2.68 acres', u'Single Family', u'Built in 2004', u'All time views: 3,716', u'HOA Fee: $13/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $165,000', u'Last sale price/sqft: $110', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached, Off street, 400 sqft garage', u'A: Central Air', u'Sep Shower', u'Gutters', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: HO Association', u'HO Fees Include: Maint Com. Area', u'Water Heater: Electric WH', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Style: Traditional', u'Water: City Sewer', u'Master Bedroom Floor: Main', u'Water: City Water', u'Bedroom 2 Floor: Main', u'Shower', u'Inside City: Yes', u'Bedroom 3 Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Other Rooms: Family Room', u'Dining: Eat-in Kitchen', u'Garage Floor: Main', u'Style: Ranch', u'Equipment: Garage Opener', u'Garden Tub', u'Lot Description: Cul-De-Sac', u'Parking: Concrete', u'Style: Transitional', u'Accessibility: Level Flooring', u'Accessibility: Main Floor Laundry', u'Lot Description: Garden Area', u'Other Rooms: Great Room', u'Subdivision: Golden Pond', u'Parking: Garage', u'Restrictive Covenants: Yes', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'Acres: .26-.5 Acres', u'Family room', u'Master bath', u'Exterior material: Vinyl', u'Foundation type: Other', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,495 sqft', u'Heating: Electric', u'Parcel #: 180603401296', u'Zillow Home ID: 93023546']	http://photos1.zillowstatic.com/p_e/ISlmnj7ui7sikg0000000000.jpg	165000.0	[]	1495.0	NC	171172.0	27522	93023546
2.0	3	Creedmoor	[u'Lot: 10,018 sqft', u'Single Family', u'Built in 2000', u'All time views: 1,498', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $138,000', u'Last sale price/sqft: $102', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 4 spaces, 400 sqft garage', u'Dishwasher', u'Refrigerator', u'Family room', u'Exterior material: Other', u'Foundation type: Other', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,350 sqft', u'Heating: Electric', u'Parcel #: 180603226072', u'Zillow Home ID: 93023271']	http://photos1.zillowstatic.com/p_e/ISxfmrzcm31nvk0000000000.jpg	138000.0	[]	1350.0	NC	138938.0	27522	93023271
2.0	3	Creedmoor	[u'Lot: 1 acre', u'Single Family', u'Built in 1996', u'All time views: 8,546', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jun 2016 for $129,900', u'Last sale price/sqft: $66', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Jetted Tub', u'Lawn', u'Parking: Carport, 2 spaces, 200 sqft garage', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Exterior material: Other, Vinyl', u'Foundation type: Other', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,980 sqft', u'Heating: Electric', u'Parcel #: 181400863346', u'Zillow Home ID: 93020527']	http://photos2.zillowstatic.com/p_e/IS1rxiut517xze1000000000.jpg	129900.0	[]	1980.0	NC	232154.0	27522	93020527
2.5	3	Creedmoor	[u'Baths: 2 full, 1 half', u'Lot: 0.26 acres', u'Single Family', u'Built in 1999', u'All time views: 2,274', u'HOA Fee: $160/mo', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Jun 2016 for $192,000', u'Last sale price/sqft: $103', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Parking: Garage - Attached, 4 spaces, 400 sqft garage', u'Patio', u'Porch', u'A: Central Air', u'Sep Shower', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: Maint Com. Area', u'Roof: Shingle', u'Water: City Sewer', u'Water: City Water', u'Shower', u'Inside City: Yes', u'Design: 2 Story', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Lot Description: Corner Lot', u'Breakfast Room Floor: Main', u'Bonus Room Floor: Second', u'Dining: Eat-in Kitchen', u'Garage Floor: Main', u'HO Fees Include: Street Lights', u'Flooring: Ceramic', u'Parking: Concrete', u'Lvng Area: Second', u'Exterior Finish: Masonite', u'Attic Description: Walk In', u'Other Area: Additional', u'Flooring: Bamboo', u'Attic Description: Finished Att', u'Subdivision: Golden Pond', u'Parking: Garage', u'Restrictive Covenants: Yes', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'Acres: .26-.5 Acres', u'Pantry', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Other', u'Foundation type: Other', u'Roof type: Other', u'Room count: 7', u'Stories: 0', u'Structure type: Colonial', u'Floor size: 1,864 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 180603223058', u'Zillow Home ID: 93023256']	http://photos1.zillowstatic.com/p_e/ISphify0l5i8e90000000000.jpg	192000.0	[]	1864.0	NC	182162.0	27522	93023256
2.0	4	Creedmoor	[u'Lot: 0.32 acres', u'Single Family', u'Built in 2000', u'All time views: 5,594', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $228,000', u'Last sale price/sqft: $121', u'Flooring: Carpet, Hardwood', u'Parking: Garage - Attached, 4 spaces, 400 sqft garage', u'Porch', u'Age: 11-20 Years Old', u'Garage Count: 2 Car Garage', u'Sewer: City', u'Water: City Water', u'Lot Size: 2 - 1 Acre', u'Basement: Crawl Space', u'Heating Type: Multi-Zone Heat', u'Cooling: C', u'Garage Description: Garage', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Breakfast nook', u'Dining room', u'Family room', u'Exterior material: Brick, Other', u'Foundation type: Other', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,891 sqft', u'Laundry: In Unit', u'Parcel #: 180603128016', u'Zillow Home ID: 93023185']	http://photos1.zillowstatic.com/p_e/IS9pph1wgfazi11000000000.jpg	228000.0	[]	1891.0	NC	189868.0	27522	93023185
2.0	3	Creedmoor	[u'Lot: 1 acre', u'Single Family', u'Built in 1994', u'All time views: 6,969', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jun 2016 for $130,000', u'Last sale price/sqft: $65', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Carport', u'Granite countertop', u'Jacuzzi / Whirlpool', u'Living room', u'Dishwasher', u'Microwave', u'Range / Oven', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Other', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Floor size: 2,000 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: 181400865310', u'Zillow Home ID: 93020528']	http://photos2.zillowstatic.com/p_e/ISdgt12gzemjek1000000000.jpg	130000.0	[]	2000.0	NC	204211.0	27522	93020528
2.0	3	Creedmoor	[u'Lot: 0.57 acres', u'Single Family', u'Built in 2001', u'All time views: 658', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jun 2016 for $127,000', u'Last sale price/sqft: $108', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached, 200 sqft garage', u'Porch', u'A: Central Air', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Water: City Sewer', u'Master Bedroom Floor: Main', u'Water: City Water', u'Bedroom 2 Floor: Main', u'Shower', u'Inside City: Yes', u'Bedroom 3 Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Open', u'Dining: Eat-in Kitchen', u'Garage Floor: Main', u'Style: Ranch', u'Roof: Roof Age 11+ Years', u'Fiberglass Bath', u'Special Conditions: In Foreclosure process', u'Parking: Garage', u'Subdivision: Blackstone Village', u'Restrictive Covenants: Yes', u'Acres: .51-.75 Acres', u'Dryer', u'Washer', u'Exterior material: Vinyl', u'Foundation type: Other', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,178 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: 087501493687', u'Zillow Home ID: 93029039']	http://photos2.zillowstatic.com/p_e/IS1ny8gj2ryn6o1000000000.jpg	127000.0	[]	1178.0	NC	127086.0	27522	93029039
1.0	3	Creedmoor	[u'Lot: 8,712 sqft', u'Single Family', u'Built in 1940', u'All time views: 180', u'Cooling: Central', u'Heating: Other', u'Last sold: Jun 2016 for $5,000', u'Last sale price/sqft: $5', u'Exterior material: Stone', u'Foundation type: Concrete Block', u'Roof type: Asphalt', u'Room count: 4', u'Stories: 1', u'Floor size: 956 sqft', u'Parcel #: 089618418942', u'Zillow Home ID: 94879924']	http://photos3.zillowstatic.com/p_e/IS-1myf33l54v719.jpg	5000.0	[]	956.0	NC	104374.0	27522	94879924
2.0	3	Creedmoor	[u'Single Family', u'Built in 2002', u'All time views: 1,545', u'Cooling: Other', u'Heating: Other', u'Last sold: Jun 2016 for $159,000', u'Last sale price/sqft: $144', u'Fireplace', u'Parking: Garage - Attached, 200 sqft garage', u'Exterior material: Other', u'Foundation type: Other', u'Roof type: Asphalt', u'Stories: 1.5', u'Floor size: 1,102 sqft', u'Heating: Other', u'Parcel #: 087501493889', u'Zillow Home ID: 93029040']	http://photos2.zillowstatic.com/p_e/ISplp7gkup3y7a1000000000.jpg	159000.0	[]	1102.0	NC	161938.0	27522	93029040
3.0	3	Creedmoor	[u'Baths: 2 full, 1 half', u'Lot: 0.36 acres', u'Single Family', u'Built in 2013', u'All time views: 2,741', u'HOA Fee: $26/mo', u'Cooling: Other', u'Heating: Other', u'Last sold: Jun 2016 for $207,000', u'Last sale price/sqft: $85', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 200 sqft garage', u'Security System', u'A: C', u'Attic Description: Floored', u'Basement Description: No Basement', u'Sep Shower', u'Equipment: Disposal', u'Fuel Heat: Electric Fuel', u'Heating: Dual Zone Heat', u'HO Fees Include: Maint Com. Area', u'HO Fees Include: Maint. Grnd', u'Lot Description: Landscaped', u'Roof: Shingle', u'Style: Traditional', u'Inside City: Yes', u'Design: 2 Story', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Lot Description: Hardwood Trees', u'Other Rooms: Utility Room', u'Parking: Front', u'Breakfast Room Floor: Main', u'Garage Floor: Main', u'Equipment: Garage Opener', u'Exterior Finish: Shake', u'Other Rooms: Finish', u'Style: Transitional', u'Foundation: Slab', u'Utility Room Floor: Second', u'Attic Description: Walk In', u'Water Heater: Tankless', u'Other Rooms: Great Room', u'Other Rooms: Loft Rm', u'Bonus Room Floor: Third', u'Subdivision: Pine Valley', u'Parking: Garage', u'9 Ft Ceiling', u'Restrictive Covenants: Yes', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Quarterly', u'Acres: .26-.5 Acres', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Walk-in closet', u'Exterior material: Brick, Other, Vinyl', u'Foundation type: Slab', u'Roof type: Tile', u'Room count: 10', u'Stories: 3', u'Structure type: Other', u'Floor size: 2,448 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: 089604748846', u'Zillow Home ID: 125034411']	http://photos3.zillowstatic.com/p_e/IS5a3bk1ilm9631000000000.jpg	207000.0	[]	2448.0	NC	195716.0	27522	125034411
