baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.5	3	Ferguson	[u'Baths: 2 full, 1 half', u'Lot: 9.7 acres', u'Single Family', u'Built in 1997', u'All time views: 3,071', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2016 for $310,000', u'Last sale price/sqft: $127', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached', u'Foundation: Basement', u'Water Heater: Electric', u'Basement: Partially Finished', u'Burglar Alarm', u'Master Bedroom', u'Main Level', u'Private Yard', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Financing: Conventional', u'Property Status: Active', u'Property Type: Residential', u'Financing: FHA', u'Financing: VA', u'Area: Area 3', u'Construction: Vinyl Siding', u'5-10 Acres', u'Attic: Floored', u'Water: Shared Well', u'Apx SqFt: 2200 - 2400 SF', u'Apx Age: 16 - 20', u'Construction: Stone', u'Road Maintenance: Gravel', u'Central Vacuum', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Roof type: Composition', u'Stories: 2', u'Structure type: Contemporary', u'Floor size: 2,438 sqft', u'Parcel #: 0900311', u'Zillow Home ID: 86700451']	http://photos2.zillowstatic.com/p_e/ISdsi5rh7xfblz0000000000.jpg	310000.0	[]	2438.0	NC	302896.0	28624	86700451
2.0	3	Ferguson	[u'Lot: 10.02 acres', u'Single Family', u'Built in 1999', u'All time views: 1,598', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Dec 2015 for $435,000', u'Last sale price/sqft: $281', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Porch', u'Tennis Court', u'Water Heater: Electric', u'Garage: None', u'Location Description: Hill & Mountain View', u'Financing: Cash', u'Financing: Conventional', u'Property Type: Residential', u'Water: Private Well', u'Type: Log Home', u'Attic: None', u'Construction: Log', u'Type: Other-See Remarks', u'Construction: Concrete Block', u'5-10 Acres', u'Location Description: Gravel Drive', u'Road Maintenance: Private Maintained', u'Construction: Frame', u'Area: Area 2', u'Location Description: Horses Permitted', u'Type: Cabin', u'Road Maintenance: Recorded Road Maintenance Agreement', u'Apx Age: 16 - 20', u'Apx SqFt: 1400 - 1600 SF', u'Basement: High Crawl Space', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Family room', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 7', u'Structure type: Other', u'Floor size: 1,548 sqft', u'Heating: Electric', u'Parcel #: 0701133', u'Zillow Home ID: 86699871']	http://photos1.zillowstatic.com/p_e/ISdwt8cq8ksyy01000000000.jpg	435000.0	[]	1548.0	NC	418385.0	28624	86699871
2.0	3	Ferguson	[u'Lot: 13.7 acres', u'Single Family', u'Built in 1982', u'All time views: 1,611', u'Cooling: Central', u'Heating: Baseboard, Forced air, Other', u'Last sold: Aug 2015 for $220,000', u'Last sale price/sqft: $137', u'360 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood', u'Garden', u'Parking: Carport, Garage - Detached, Off street, 2 spaces, 850 sqft garage', u'Partial basement', u'Porch', u'Security System', u'View: Territorial', u'large fenced pasture', u'paved drive around house', u'large rocking front porch', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Shingle, Stone, Wood', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,610 sqft', u'Heating: Electric, Oil, Propane butane', u'Last remodel year: 2013', u'Parcel #: 0900353', u'Zillow Home ID: 97070561']	http://photos2.zillowstatic.com/p_e/ISh71hxjz75rnr0000000000.jpg	220000.0	[]	1610.0	NC	176489.0	28624	97070561
1.0	2	Ferguson	[u'Lot: 1 acre', u'Single Family', u'Built in 1955', u'All time views: 333', u'Last sold: Aug 2015 for $12,000', u'Last sale price/sqft: $14', u'Flooring: Other', u'Construction: Other-See Remarks', u'Financing: Cash', u'Property Status: Active', u'Property Type: Residential', u'Foundation: Crawl Space', u'Road Maintenance: Paved', u'Basement: None', u'Apx Age: Over 50', u'Apx SqFt: 800 - 1000 SF', u'Other-See Remarks', u'Heating System: Other-See Remarks', u'Appliances: Other-See Remarks', u'Air Conditioning: Other-See Remarks', u'Area: Area 2', u'Water: Other-See Remarks', u'Garage: Other-See Remarks', u'Attic: Other-See Remarks', u'Location Description: Other-See Remarks', u'None', u'Water Heater: Other-See Remarks', u'Location Description: None', u'Roof: Other-See Remarks', u'None', u'Appliances: None', u'Road Maintenance: Other-See Remarks', u'Financing: Other-See Remarks', u'Exterior material: Other', u'Roof type: Metal', u'Structure type: Bungalow', u'Floor size: 856 sqft', u'Parcel #: 0700503', u'Zillow Home ID: 86700025']	http://photos2.zillowstatic.com/p_e/IShz2hsij2kk461000000000.jpg	12000.0	[]	856.0	NC	61162.0	28624	86700025
2.0	3	Ferguson	[u'Lot: 22.8 acres', u'Single Family', u'Built in 1940', u'All time views: 2,261', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: Jun 2015 for $177,000', u'Last sale price/sqft: $64', u'Attic', u'Disability Access', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Lawn', u'Parking: Carport', u'Porch', u'View: Mountain', u'Type: Ranch', u'Water Heater: Electric', u'Garage: None', u'Master Bedroom', u'Main Level', u'Private Yard', u'Location Description: Asphalt Drive', u'Location Description: Hill & Mountain View', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Large Master Bedroom', u'Financing: Conventional', u'Property Type: Residential', u'Road Maintenance: Paved', u'Water: Private Well', u'Smoke Detector', u'Apx Age: Over 50', u'Workshop', u'Construction: Brick', u'Other-See Remarks', u'Heating System: Other-See Remarks', u'Attic: Permanent Stairs', u'Appliances: Other-See Remarks', u'20-50 Acres', u'Creek', u'Area: Area 2', u'Foundation: Slab', u'Location Description: Horses Permitted', u'Attic: Other-See Remarks', u'Location Description: Hunting Privileges', u'Attic: Finished', u'Location Description: Other-See Remarks', u'Apx SqFt: 2600 - 2800 SF', u'Roof: Other-See Remarks', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 6', u'Structure type: Ranch', u'Floor size: 2,769 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0700593', u'Zillow Home ID: 86700038']	http://photos1.zillowstatic.com/p_e/ISd8fpcylt33701000000000.jpg	177000.0	[]	2769.0	NC	0.0	28624	86700038
3.0	3	Ferguson	[u'Lot: 6.92 acres', u'Single Family', u'Built in 1991', u'All time views: 643', u'Last sold: Apr 2015 for $278,500', u'Last sale price/sqft: $104', u'Floor size: 2,687 sqft', u'Parcel #: 0701761', u'Zillow Home ID: 86699927']	http://photos1.zillowstatic.com/p_e/ISpdj15oeiw9l60000000000.jpg	278500.0	[]	2687.0	NC	369119.0	28624	86699927
1.0	2	Ferguson	[u'Lot: 3.13 acres', u'Single Family', u'Built in 1950', u'All time views: 4,259', u'Cooling: None', u'Heating: Other, Stove', u'Last sold: Apr 2015 for $35,000', u'Last sale price/sqft: $28', u'Attic', u'Ceiling Fan', u'Controlled Access', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Carport, Off street', u'Security System', u'View: Mountain, Water', u'Waterfront', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Office', u'Roof type: Metal', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,248 sqft', u'Heating: Propane butane, Wood / pellet', u'Laundry: In Unit', u'Parcel #: 0701818', u'Zillow Home ID: 86699936']	http://photos3.zillowstatic.com/p_e/IStoa97meais650000000000.jpg	35000.0	[]	1248.0	NC	83406.0	28624	86699936
1.0	3	Ferguson	[u'Lot: 1.05 acres', u'Single Family', u'Built in 1969', u'All time views: 1,418', u'Last sold: Apr 2014 for $74,900', u'Last sale price/sqft: $74', u'Structure type: Ranch', u'Floor size: 1,008 sqft', u'Zillow Home ID: 2141695968']	http://photos3.zillowstatic.com/p_e/IS52x0q70cnohz0000000000.jpg	74900.0	[]	1008.0	NC	103081.0	28624	2141695968
2.0	3	Ferguson	[u'Lot: 11.8 acres', u'Single Family', u'Built in 2002', u'All time views: 2,974', u'Last sold: Jan 2014 for $213,000', u'Last sale price/sqft: $153', u'Floor size: 1,396 sqft', u'Parcel #: 0700033', u'Zillow Home ID: 86699995']	http://photos1.zillowstatic.com/p_e/ISx7g97jbum3li1000000000.jpg	213000.0	[]	1396.0	NC	269302.0	28624	86699995
2.0	3	Ferguson	[u'Lot: 9.72 acres', u'Single Family', u'Built in 1987', u'All time views: 1,754', u'Last sold: Nov 2013 for $68,000', u'Last sale price/sqft: $59', u'Structure type: Ranch', u'Floor size: 1,152 sqft', u'Parcel #: 0901089', u'Zillow Home ID: 86700417']	http://photos3.zillowstatic.com/p_e/IS5avwr3342tey0000000000.jpg	68000.0	[]	1152.0	NC	92346.0	28624	86700417
4.0	2	Ferguson	[u'Lot: 15.21 acres', u'Single Family', u'Built in 1995', u'All time views: 477', u'Last sold: Sep 2013 for $470,000', u'Last sale price/sqft: $207', u'Floor size: 2,269 sqft', u'Parcel #: 0701409', u'Zillow Home ID: 86699899']	http://photos1.zillowstatic.com/p_e/IS-h07g502ec5lp.jpg	470000.0	[]	2269.0	NC	461394.0	28624	86699899
2.5	3	Ferguson	[u'Baths: 2 full, 1 half', u'Lot: 9.7 acres', u'Single Family', u'Built in 1997', u'All time views: 3,072', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2016 for $310,000', u'Last sale price/sqft: $127', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached', u'Foundation: Basement', u'Water Heater: Electric', u'Basement: Partially Finished', u'Burglar Alarm', u'Master Bedroom', u'Main Level', u'Private Yard', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Financing: Conventional', u'Property Status: Active', u'Property Type: Residential', u'Financing: FHA', u'Financing: VA', u'Area: Area 3', u'Construction: Vinyl Siding', u'5-10 Acres', u'Attic: Floored', u'Water: Shared Well', u'Apx SqFt: 2200 - 2400 SF', u'Apx Age: 16 - 20', u'Construction: Stone', u'Road Maintenance: Gravel', u'Central Vacuum', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Roof type: Composition', u'Stories: 2', u'Structure type: Contemporary', u'Floor size: 2,438 sqft', u'Parcel #: 0900311', u'Zillow Home ID: 86700451']	http://photos2.zillowstatic.com/p_e/ISdsi5rh7xfblz0000000000.jpg	310000.0	[]	2438.0	NC	302896.0	28624	86700451
2.0	3	Ferguson	[u'Lot: 10.02 acres', u'Single Family', u'Built in 1999', u'All time views: 1,599', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Dec 2015 for $435,000', u'Last sale price/sqft: $281', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Porch', u'Tennis Court', u'Water Heater: Electric', u'Garage: None', u'Location Description: Hill & Mountain View', u'Financing: Cash', u'Financing: Conventional', u'Property Type: Residential', u'Water: Private Well', u'Type: Log Home', u'Attic: None', u'Construction: Log', u'Type: Other-See Remarks', u'Construction: Concrete Block', u'5-10 Acres', u'Location Description: Gravel Drive', u'Road Maintenance: Private Maintained', u'Construction: Frame', u'Area: Area 2', u'Location Description: Horses Permitted', u'Type: Cabin', u'Road Maintenance: Recorded Road Maintenance Agreement', u'Apx Age: 16 - 20', u'Apx SqFt: 1400 - 1600 SF', u'Basement: High Crawl Space', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Family room', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 7', u'Structure type: Other', u'Floor size: 1,548 sqft', u'Heating: Electric', u'Parcel #: 0701133', u'Zillow Home ID: 86699871']	http://photos1.zillowstatic.com/p_e/ISdwt8cq8ksyy01000000000.jpg	435000.0	[]	1548.0	NC	418385.0	28624	86699871
2.0	3	Ferguson	[u'Lot: 13.7 acres', u'Single Family', u'Built in 1982', u'All time views: 1,610', u'Cooling: Central', u'Heating: Baseboard, Forced air, Other', u'Last sold: Aug 2015 for $220,000', u'Last sale price/sqft: $137', u'360 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood', u'Garden', u'Parking: Carport, Garage - Detached, Off street, 2 spaces, 850 sqft garage', u'Partial basement', u'Porch', u'Security System', u'View: Territorial', u'large fenced pasture', u'paved drive around house', u'large rocking front porch', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Shingle, Stone, Wood', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,610 sqft', u'Heating: Electric, Oil, Propane butane', u'Last remodel year: 2013', u'Parcel #: 0900353', u'Zillow Home ID: 97070561']	http://photos2.zillowstatic.com/p_e/ISh71hxjz75rnr0000000000.jpg	220000.0	[]	1610.0	NC	176489.0	28624	97070561
1.0	2	Ferguson	[u'Lot: 1 acre', u'Single Family', u'Built in 1955', u'All time views: 334', u'Last sold: Aug 2015 for $12,000', u'Last sale price/sqft: $14', u'Flooring: Other', u'Construction: Other-See Remarks', u'Financing: Cash', u'Property Status: Active', u'Property Type: Residential', u'Foundation: Crawl Space', u'Road Maintenance: Paved', u'Basement: None', u'Apx Age: Over 50', u'Apx SqFt: 800 - 1000 SF', u'Other-See Remarks', u'Heating System: Other-See Remarks', u'Appliances: Other-See Remarks', u'Air Conditioning: Other-See Remarks', u'Area: Area 2', u'Water: Other-See Remarks', u'Garage: Other-See Remarks', u'Attic: Other-See Remarks', u'Location Description: Other-See Remarks', u'None', u'Water Heater: Other-See Remarks', u'Location Description: None', u'Roof: Other-See Remarks', u'None', u'Appliances: None', u'Road Maintenance: Other-See Remarks', u'Financing: Other-See Remarks', u'Exterior material: Other', u'Roof type: Metal', u'Structure type: Bungalow', u'Floor size: 856 sqft', u'Parcel #: 0700503', u'Zillow Home ID: 86700025']	http://photos2.zillowstatic.com/p_e/IShz2hsij2kk461000000000.jpg	12000.0	[]	856.0	NC	61162.0	28624	86700025
2.0	3	Ferguson	[u'Lot: 22.8 acres', u'Single Family', u'Built in 1940', u'All time views: 2,262', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: Jun 2015 for $177,000', u'Last sale price/sqft: $64', u'Attic', u'Disability Access', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Lawn', u'Parking: Carport', u'Porch', u'View: Mountain', u'Type: Ranch', u'Water Heater: Electric', u'Garage: None', u'Master Bedroom', u'Main Level', u'Private Yard', u'Location Description: Asphalt Drive', u'Location Description: Hill & Mountain View', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Large Master Bedroom', u'Financing: Conventional', u'Property Type: Residential', u'Road Maintenance: Paved', u'Water: Private Well', u'Smoke Detector', u'Apx Age: Over 50', u'Workshop', u'Construction: Brick', u'Other-See Remarks', u'Heating System: Other-See Remarks', u'Attic: Permanent Stairs', u'Appliances: Other-See Remarks', u'20-50 Acres', u'Creek', u'Area: Area 2', u'Foundation: Slab', u'Location Description: Horses Permitted', u'Attic: Other-See Remarks', u'Location Description: Hunting Privileges', u'Attic: Finished', u'Location Description: Other-See Remarks', u'Apx SqFt: 2600 - 2800 SF', u'Roof: Other-See Remarks', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 6', u'Structure type: Ranch', u'Floor size: 2,769 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0700593', u'Zillow Home ID: 86700038']	http://photos1.zillowstatic.com/p_e/ISd8fpcylt33701000000000.jpg	177000.0	[]	2769.0	NC	0.0	28624	86700038
3.0	3	Ferguson	[u'Lot: 6.92 acres', u'Single Family', u'Built in 1991', u'All time views: 644', u'Last sold: Apr 2015 for $278,500', u'Last sale price/sqft: $104', u'Floor size: 2,687 sqft', u'Parcel #: 0701761', u'Zillow Home ID: 86699927']	http://photos1.zillowstatic.com/p_e/ISpdj15oeiw9l60000000000.jpg	278500.0	[]	2687.0	NC	369119.0	28624	86699927
1.0	2	Ferguson	[u'Lot: 3.13 acres', u'Single Family', u'Built in 1950', u'All time views: 4,260', u'Cooling: None', u'Heating: Other, Stove', u'Last sold: Apr 2015 for $35,000', u'Last sale price/sqft: $28', u'Attic', u'Ceiling Fan', u'Controlled Access', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Carport, Off street', u'Security System', u'View: Mountain, Water', u'Waterfront', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Office', u'Roof type: Metal', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,248 sqft', u'Heating: Propane butane, Wood / pellet', u'Laundry: In Unit', u'Parcel #: 0701818', u'Zillow Home ID: 86699936']	http://photos3.zillowstatic.com/p_e/IStoa97meais650000000000.jpg	35000.0	[]	1248.0	NC	83406.0	28624	86699936
1.0	3	Ferguson	[u'Lot: 1.05 acres', u'Single Family', u'Built in 1969', u'All time views: 1,419', u'Last sold: Apr 2014 for $74,900', u'Last sale price/sqft: $74', u'Structure type: Ranch', u'Floor size: 1,008 sqft', u'Zillow Home ID: 2141695968']	http://photos3.zillowstatic.com/p_e/IS52x0q70cnohz0000000000.jpg	74900.0	[]	1008.0	NC	103081.0	28624	2141695968
2.0	3	Ferguson	[u'Lot: 11.8 acres', u'Single Family', u'Built in 2002', u'All time views: 2,975', u'Last sold: Jan 2014 for $213,000', u'Last sale price/sqft: $153', u'Floor size: 1,396 sqft', u'Parcel #: 0700033', u'Zillow Home ID: 86699995']	http://photos1.zillowstatic.com/p_e/ISx7g97jbum3li1000000000.jpg	213000.0	[]	1396.0	NC	269302.0	28624	86699995
