baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	3	Blowing Rock	[u'Baths: 2 full, 1 half', u'Lot: 0.58 acres', u'Single Family', u'Built in 2014', u'All time views: 2,851', u'HOA Fee: $50/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $325,000', u'Last sale price/sqft: $188', u'864 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Finished basement', u'Fireplace', u'Flooring: Hardwood', u'Vaulted Ceiling', u'Hot Water: Electric', u'Garage: None', u'Driveway: Private Paved', u'Appliances: Exhaust Fan', u'Heat: Air Conditioning', u'Amenities: Southern Exposure', u'Amenities: Wooded', u'Road: Private Paved', u'Zoning: Subdivision', u'Zoning: Deed Restrictions', u'Water: Shared Well', u'Amenities: Short Term Rental Permitted', u'Amenities: Long Term Rental Permitted', u'Exterior: Hardboard', u'Style: Timber Frame', u'Sewer: Septic Permit-3 Bedroom', u'Appliances: Cooktop-Gas', u'Construction: Wood Frame', u'Green Built: Energy Star Appliances', u'Elevation Range: 3001-3500 ft', u'Views: Long Range View', u'River Access', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Walk-in closet', u'Room count: 9', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,728 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 2819658243000', u'Zillow Home ID: 123220617']	http://photos2.zillowstatic.com/p_e/ISphyrip48uoee0000000000.jpg	325000.0	[]	1728.0	NC	297273.0	28605	123220617
4.0	3	Blowing Rock	[u'Lot: 1.47 acres', u'Single Family', u'Built in 2009', u'All time views: 2,278', u'HOA Fee: $25/mo', u'Heating: Radiant, Stove', u'Last sold: Aug 2016 for $650,000', u'Last sale price/sqft: $204', u'500 sqft basement', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Other', u'Garden', u'Greenhouse', u'Lawn', u'Mother-in-Law Apartment', u'Parking: Carport, 2 spaces', u'Porch', u'RV Parking', u'Vaulted Ceiling', u'View: Mountain', u'Separate updated one bedroom guest house', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 9', u'Stories: 3', u'Structure type: Contemporary', u'Floor size: 3,187 sqft', u'Heating: Propane butane, Wood / pellet', u'Laundry: In Unit', u'Parcel #: 2819635801000', u'Zillow Home ID: 102312383']	http://photos2.zillowstatic.com/p_e/ISpdvuvh2w4edz0000000000.jpg	650000.0	[]	3187.0	NC	551292.0	28605	102312383
3.0	3	Blowing Rock	[u'Lot: 1.43 acres', u'Single Family', u'Built in 1965', u'All time views: 5,528', u'Heating: Forced air', u'Last sold: Jul 2016 for $395,000', u'Last sale price/sqft: $133', u'1421 sqft basement', u'Cable Ready', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Other', u'Lawn', u'Parking: Off street', u'Pond', u'Porch', u'Vaulted Ceiling', u'View: Mountain', u'Style: Mountain', u'Water: Community', u'Hot Water: Electric', u'Garage: None', u'Appliances: Exhaust Fan', u'Sewer: Private', u'Driveway: Private Gravel', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Road: Private Paved', u'Zoning: Subdivision', u'Zoning: Deed Restrictions', u'Zoning: Residential', u'Appliances: Other-See Remarks', u'Amenities: Short Term Rental Permitted', u'Amenities: Long Term Rental Permitted', u'Sewer: Septic Permit Unavailable', u'Elevation Range: 3501-4000 ft', u'Elevation Range: 4501-5000 ft', u'Views: Long Range View', u'Views: Long Range-Layers View', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Stone, Wood', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,964 sqft', u'Heating: Gas, Oil', u'Laundry: In Unit', u'Parcel #: 2819226009000', u'Zillow Home ID: 102359501']	http://photos1.zillowstatic.com/p_e/ISxbffe1d500bu0000000000.jpg	395000.0	[]	2964.0	NC	485936.0	28605	102359501
2.5	3	Blowing Rock	[u'Baths: 2 full, 1 half', u'Lot: 0.5 acres', u'Single Family', u'Built in 2013', u'All time views: 1,526', u'Heating: Heat pump', u'Last sold: Jul 2016 for $298,500', u'Last sale price/sqft: $182', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'High Speed Internet Ready', u'Porch', u'Style: Mountain', u'Hot Water: Electric', u'Garage: None', u'Driveway: Private Paved', u'Appliances: Exhaust Fan', u'Road: State Maintained Paved', u'Sewer: Private', u'Amenities: Southern Exposure', u'Basement: Crawl Space', u'Zoning: Residential', u'Water: Shared Well', u'Amenities: Short Term Rental Permitted', u'Amenities: Long Term Rental Permitted', u'Exterior: Hardboard', u'Views: Long Range View', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Floor size: 1,640 sqft', u'Laundry: In Unit', u'Parcel #: 2829432112000', u'Zillow Home ID: 102312777']	http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/36.175000,-81.630000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r	298500.0	[]	1640.0	NC	297013.0	28605	102312777
5.0	3	Blowing Rock	[u'Baths: 4 full, 1 half', u'Lot: 1.07 acres', u'Single Family', u'Built in 2001', u'All time views: 4,071', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $515,000', u'Last sale price/sqft: $115', u'1668 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Hardwood, Tile', u'Jetted Tub', u'Parking: Garage - Attached, 506 sqft garage', u'Porch', u'Vaulted Ceiling', u'View: Mountain', u'Style: Mountain', u'Driveway: Private Paved', u'Fireplace: Other-See Remarks', u'Attic: Yes', u'Sewer: Private', u'Hot Water: Gas', u'Road: Private Paved', u'Zoning: Subdivision', u'Garage: 2 Car', u'Zoning: Deed Restrictions', u'Zoning: Residential', u'Heat: C', u'Water: Shared Well', u'Amenities: Long Term Rental Permitted', u'Attic: Pull Down', u'Amenities: Partial Fence', u'Garage: Oversized', u'Heat: Monitor-Propane', u'Construction: Wood Frame', u'Auxiliary Heat Source: Monitor-Propane', u'Elevation Range: 3501-4000 ft', u'Views: Long Range View', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Walk-in closet', u'Exterior material: Stone, Stucco, Wood', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 3', u'Structure type: Other', u'Floor size: 4,493 sqft', u'Heating: Electric, Propane butane', u'Laundry: In Unit', u'Parcel #: 2829112605000', u'Zillow Home ID: 102244819']	http://photos1.zillowstatic.com/p_e/IS1rxuj1msafpn1000000000.jpg	515000.0	[]	4493.0	NC	552701.0	28605	102244819
4.0	2	Blowing Rock	[u'Baths: 2 full, 2 half', u'Lot: 0.61 acres', u'Single Family', u'Built in 1999', u'All time views: 1,602', u'Heating: Forced air', u'Last sold: Jun 2016 for $315,000', u'Last sale price/sqft: $130', u'1218 sqft basement', u'Cable Ready', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Porch', u'Style: Mountain', u'Water: Community', u'Hot Water: Electric', u'Garage: None', u'Driveway: Private Paved', u'Appliances: Exhaust Fan', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Road: Private Paved', u'Zoning: Subdivision', u'Basement: Crawl Space', u'Amenities: Whirl Pool Tub', u'Style: Traditional', u'Amenities: Short Term Rental Permitted', u'Amenities: Long Term Rental Permitted', u'Sewer: Septic Permit-2 Bedroom', u'Appliances: Cooktop-Electric', u'Construction: Wood Frame', u'Elevation Range: 4001-4500 ft', u'Views: Long Range View', u'Skiing', u'Views: Long Range-Layers View', u'Spring', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,430 sqft', u'Laundry: In Unit', u'Parcel #: 2819217566000', u'Zillow Home ID: 102250779']	http://photos2.zillowstatic.com/p_e/ISt8ae6f746vcx1000000000.jpg	315000.0	[]	2430.0	NC	332999.0	28605	102250779
2.0	4	Blowing Rock	[u'Lot: 3,789 sqft', u'Single Family', u'Built in 1972', u'All time views: 1,327', u'Heating: Other', u'Last sold: Jun 2016 for $150,000', u'Last sale price/sqft: $114', u'416 sqft basement', u'Finished basement', u'Fireplace', u'Waterfront', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 2', u'Floor size: 1,313 sqft', u'Last remodel year: 1993', u'Parcel #: 2818743450000', u'Zillow Home ID: 99379344']	http://photos2.zillowstatic.com/p_e/IS17oenpmvtndv.jpg	150000.0	[]	1313.0	NC	169522.0	28605	99379344
3.5	3	Blowing Rock	[u'Baths: 3 full, 1 half', u'Lot: 3.01 acres', u'Single Family', u'Built in 2002', u'All time views: 1,892', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $750,000', u'Last sale price/sqft: $199', u'1524 sqft basement', u'Fireplace', u'Unfinished basement', u'Roof type: Other', u'Room count: 8', u'Stories: 1', u'Structure type: Contemporary', u'Floor size: 3,775 sqft', u'Parcel #: 1897435700000', u'Zillow Home ID: 102304422']	http://photos1.zillowstatic.com/p_e/IS99lvkruhbwrj1000000000.jpg	750000.0	[]	3775.0	NC	715176.0	28605	102304422
3.0	3	Blowing Rock	[u'Baths: 2 full, 1 half', u'Lot: 0.58 acres', u'Single Family', u'Built in 2014', u'All time views: 2,852', u'HOA Fee: $50/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $325,000', u'Last sale price/sqft: $188', u'864 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Finished basement', u'Fireplace', u'Flooring: Hardwood', u'Vaulted Ceiling', u'Hot Water: Electric', u'Garage: None', u'Driveway: Private Paved', u'Appliances: Exhaust Fan', u'Heat: Air Conditioning', u'Amenities: Southern Exposure', u'Amenities: Wooded', u'Road: Private Paved', u'Zoning: Subdivision', u'Zoning: Deed Restrictions', u'Water: Shared Well', u'Amenities: Short Term Rental Permitted', u'Amenities: Long Term Rental Permitted', u'Exterior: Hardboard', u'Style: Timber Frame', u'Sewer: Septic Permit-3 Bedroom', u'Appliances: Cooktop-Gas', u'Construction: Wood Frame', u'Green Built: Energy Star Appliances', u'Elevation Range: 3001-3500 ft', u'Views: Long Range View', u'River Access', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Walk-in closet', u'Room count: 9', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,728 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 2819658243000', u'Zillow Home ID: 123220617']	http://photos2.zillowstatic.com/p_e/ISphyrip48uoee0000000000.jpg	325000.0	[]	1728.0	NC	297273.0	28605	123220617
4.0	3	Blowing Rock	[u'Lot: 1.47 acres', u'Single Family', u'Built in 2009', u'All time views: 2,279', u'HOA Fee: $25/mo', u'Heating: Radiant, Stove', u'Last sold: Aug 2016 for $650,000', u'Last sale price/sqft: $204', u'500 sqft basement', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Other', u'Garden', u'Greenhouse', u'Lawn', u'Mother-in-Law Apartment', u'Parking: Carport, 2 spaces', u'Porch', u'RV Parking', u'Vaulted Ceiling', u'View: Mountain', u'Separate updated one bedroom guest house', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 9', u'Stories: 3', u'Structure type: Contemporary', u'Floor size: 3,187 sqft', u'Heating: Propane butane, Wood / pellet', u'Laundry: In Unit', u'Parcel #: 2819635801000', u'Zillow Home ID: 102312383']	http://photos2.zillowstatic.com/p_e/ISpdvuvh2w4edz0000000000.jpg	650000.0	[]	3187.0	NC	551292.0	28605	102312383
3.0	3	Blowing Rock	[u'Lot: 1.43 acres', u'Single Family', u'Built in 1965', u'All time views: 5,529', u'Heating: Forced air', u'Last sold: Jul 2016 for $395,000', u'Last sale price/sqft: $133', u'1421 sqft basement', u'Cable Ready', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Other', u'Lawn', u'Parking: Off street', u'Pond', u'Porch', u'Vaulted Ceiling', u'View: Mountain', u'Style: Mountain', u'Water: Community', u'Hot Water: Electric', u'Garage: None', u'Appliances: Exhaust Fan', u'Sewer: Private', u'Driveway: Private Gravel', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Road: Private Paved', u'Zoning: Subdivision', u'Zoning: Deed Restrictions', u'Zoning: Residential', u'Appliances: Other-See Remarks', u'Amenities: Short Term Rental Permitted', u'Amenities: Long Term Rental Permitted', u'Sewer: Septic Permit Unavailable', u'Elevation Range: 3501-4000 ft', u'Elevation Range: 4501-5000 ft', u'Views: Long Range View', u'Views: Long Range-Layers View', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Stone, Wood', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,964 sqft', u'Heating: Gas, Oil', u'Laundry: In Unit', u'Parcel #: 2819226009000', u'Zillow Home ID: 102359501']	http://photos1.zillowstatic.com/p_e/ISxbffe1d500bu0000000000.jpg	395000.0	[]	2964.0	NC	485936.0	28605	102359501
2.5	3	Blowing Rock	[u'Baths: 2 full, 1 half', u'Lot: 0.5 acres', u'Single Family', u'Built in 2013', u'All time views: 1,527', u'Heating: Heat pump', u'Last sold: Jul 2016 for $298,500', u'Last sale price/sqft: $182', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'High Speed Internet Ready', u'Porch', u'Style: Mountain', u'Hot Water: Electric', u'Garage: None', u'Driveway: Private Paved', u'Appliances: Exhaust Fan', u'Road: State Maintained Paved', u'Sewer: Private', u'Amenities: Southern Exposure', u'Basement: Crawl Space', u'Zoning: Residential', u'Water: Shared Well', u'Amenities: Short Term Rental Permitted', u'Amenities: Long Term Rental Permitted', u'Exterior: Hardboard', u'Views: Long Range View', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Floor size: 1,640 sqft', u'Laundry: In Unit', u'Parcel #: 2829432112000', u'Zillow Home ID: 102312777']	http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/36.175000,-81.630000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r	298500.0	[]	1640.0	NC	297013.0	28605	102312777
5.0	3	Blowing Rock	[u'Baths: 4 full, 1 half', u'Lot: 1.07 acres', u'Single Family', u'Built in 2001', u'All time views: 4,072', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $515,000', u'Last sale price/sqft: $115', u'1668 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Hardwood, Tile', u'Jetted Tub', u'Parking: Garage - Attached, 506 sqft garage', u'Porch', u'Vaulted Ceiling', u'View: Mountain', u'Style: Mountain', u'Driveway: Private Paved', u'Fireplace: Other-See Remarks', u'Attic: Yes', u'Sewer: Private', u'Hot Water: Gas', u'Road: Private Paved', u'Zoning: Subdivision', u'Garage: 2 Car', u'Zoning: Deed Restrictions', u'Zoning: Residential', u'Heat: C', u'Water: Shared Well', u'Amenities: Long Term Rental Permitted', u'Attic: Pull Down', u'Amenities: Partial Fence', u'Garage: Oversized', u'Heat: Monitor-Propane', u'Construction: Wood Frame', u'Auxiliary Heat Source: Monitor-Propane', u'Elevation Range: 3501-4000 ft', u'Views: Long Range View', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Walk-in closet', u'Exterior material: Stone, Stucco, Wood', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 3', u'Structure type: Other', u'Floor size: 4,493 sqft', u'Heating: Electric, Propane butane', u'Laundry: In Unit', u'Parcel #: 2829112605000', u'Zillow Home ID: 102244819']	http://photos1.zillowstatic.com/p_e/IS1rxuj1msafpn1000000000.jpg	515000.0	[]	4493.0	NC	552701.0	28605	102244819
4.0	2	Blowing Rock	[u'Baths: 2 full, 2 half', u'Lot: 0.61 acres', u'Single Family', u'Built in 1999', u'All time views: 1,603', u'Heating: Forced air', u'Last sold: Jun 2016 for $315,000', u'Last sale price/sqft: $130', u'1218 sqft basement', u'Cable Ready', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Porch', u'Style: Mountain', u'Water: Community', u'Hot Water: Electric', u'Garage: None', u'Driveway: Private Paved', u'Appliances: Exhaust Fan', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Road: Private Paved', u'Zoning: Subdivision', u'Basement: Crawl Space', u'Amenities: Whirl Pool Tub', u'Style: Traditional', u'Amenities: Short Term Rental Permitted', u'Amenities: Long Term Rental Permitted', u'Sewer: Septic Permit-2 Bedroom', u'Appliances: Cooktop-Electric', u'Construction: Wood Frame', u'Elevation Range: 4001-4500 ft', u'Views: Long Range View', u'Skiing', u'Views: Long Range-Layers View', u'Spring', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,430 sqft', u'Laundry: In Unit', u'Parcel #: 2819217566000', u'Zillow Home ID: 102250779']	http://photos2.zillowstatic.com/p_e/ISt8ae6f746vcx1000000000.jpg	315000.0	[]	2430.0	NC	332999.0	28605	102250779
2.0	4	Blowing Rock	[u'Lot: 3,789 sqft', u'Single Family', u'Built in 1972', u'All time views: 1,328', u'Heating: Other', u'Last sold: Jun 2016 for $150,000', u'Last sale price/sqft: $114', u'416 sqft basement', u'Finished basement', u'Fireplace', u'Waterfront', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 2', u'Floor size: 1,313 sqft', u'Last remodel year: 1993', u'Parcel #: 2818743450000', u'Zillow Home ID: 99379344']	http://photos2.zillowstatic.com/p_e/IS17oenpmvtndv.jpg	150000.0	[]	1313.0	NC	169522.0	28605	99379344
3.5	3	Blowing Rock	[u'Baths: 3 full, 1 half', u'Lot: 3.01 acres', u'Single Family', u'Built in 2002', u'All time views: 1,893', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $750,000', u'Last sale price/sqft: $199', u'1524 sqft basement', u'Fireplace', u'Unfinished basement', u'Roof type: Other', u'Room count: 8', u'Stories: 1', u'Structure type: Contemporary', u'Floor size: 3,775 sqft', u'Parcel #: 1897435700000', u'Zillow Home ID: 102304422']	http://photos1.zillowstatic.com/p_e/IS99lvkruhbwrj1000000000.jpg	750000.0	[]	3775.0	NC	715176.0	28605	102304422
3.0	3	Blowing Rock	[u'Baths: 2 full, 1 half', u'Lot: 0.58 acres', u'Single Family', u'Built in 2014', u'All time views: 2,853', u'HOA Fee: $50/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $325,000', u'Last sale price/sqft: $188', u'864 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Finished basement', u'Fireplace', u'Flooring: Hardwood', u'Vaulted Ceiling', u'Hot Water: Electric', u'Garage: None', u'Driveway: Private Paved', u'Appliances: Exhaust Fan', u'Heat: Air Conditioning', u'Amenities: Southern Exposure', u'Amenities: Wooded', u'Road: Private Paved', u'Zoning: Subdivision', u'Zoning: Deed Restrictions', u'Water: Shared Well', u'Amenities: Short Term Rental Permitted', u'Amenities: Long Term Rental Permitted', u'Exterior: Hardboard', u'Style: Timber Frame', u'Sewer: Septic Permit-3 Bedroom', u'Appliances: Cooktop-Gas', u'Construction: Wood Frame', u'Green Built: Energy Star Appliances', u'Elevation Range: 3001-3500 ft', u'Views: Long Range View', u'River Access', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Walk-in closet', u'Room count: 9', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,728 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 2819658243000', u'Zillow Home ID: 123220617']	http://photos2.zillowstatic.com/p_e/ISphyrip48uoee0000000000.jpg	325000.0	[]	1728.0	NC	297273.0	28605	123220617
